pIGC50	CAS	SMILES
0.82	42087809	COC(=O)C1=C(C=C(C=C1)Cl)[N+](=O)[O-]
-0.32	40763960	c1(cc(ccc1[N+](=O)[O-])Cl)C(=O)N
2.66	1930729	C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C#N
1.27	610786	C1=CC(=C(C=C1O)[N+](=O)[O-])Cl
2.33	51676745	c1c(C)c(cc(c1Cl)[N+](=O)[O-])[N+](=O)[O-]
0.58	95829	C1=CC(=C(C=C1Cl)N)Cl
1.22	4110354	[N+](c1cc([N+]([O-])=O)cc(C#N)c1)([O-])=O
1.26	2683-43-4	N(=O)(=O)c1c(N)c(Cl)cc(c1)Cl
1.16	7149704	CC1=C(C=CC(=C1)[N+](=O)[O-])Br
1.19	16588344	[N+](c1c(ccc(c1)C=O)Cl)(=O)[O-]
0.85	121175	[N+](c1cc(C(F)(F)F)ccc1Cl)(=O)[O-]
0.9	608300	c1(c(Br)cccc1Br)N
1.65	2244077	C(CCCCCC)CCCC#N
1.9	2437254	C(CCCCCC#N)CCCCC
0.62	2243278	C(CCCCC)CCC#N
-1.01	110598	C(CCC)C#N
0.28	124129	C(CCCC#N)CCC
-0.38	628739	C(CCCCC)#N
-0.24	629083	CCCCCCC#N
-1.64	544138	C(CCCC#N)#N
-1.44	109740	C(CCC)#N
-1.54	111693	C(CCCC#N)C#N
-1.97	107120	C(C)C#N
-1.82	110612	C(CC#N)C#N
-0.79	542541	C(CCC(C)C)#N
-0.88	625285	C(CC#N)(C)C
-0.63	6280871	ClCCCCC#N
0.29	22819916	N#CCCCCCCCl
-0.21	5414211	N#CCCCCBr
0.51	20965279	N#CCCCCCCBr
-2.28	75058	C(C)#N
-0.953	16529-66-1	C(\CC#N)=C\C
-0.95	16529661	C(CC=CC)#N
-1.33	630182	C(C(C)(C)C)#N
-0.93	628206	ClCCCC#N
-0.47	5332069	C(CCCBr)#N
-1.48	109751	C(CC=C)#N
-1.62	78820	C(C(C)C)#N
-1.653	126-98-7	C(C#N)(C)=C
-1.534	40137222	N(CC(CO)O)C
-1.5341	40137-22-2	C([C@@H](CO)O)NC
-1.81	616308	OCC(O)CN
-1.43	616295	C(CN)(CN)O
-1.68	534032	OCC(N)CO
-0.72	1.12E+08	C(N)(C(C)(C)C)CO
-0.718	112245-13-3	C([C@@H](CO)N)(C)(C)C
-0.98	35161718	C(CNC)#C
1.66	644086	c1(c2ccccc2)ccc(cc1)C
0.25	108883	CC1=CC=CC=C1
0.25	106423	CC1=CC=C(C=C1)C
1.97	5707448	CCc1ccc(c2ccccc2)cc1
0.92	3597919	C1=CC=C(C=C1)C2=CC=C(C=C2)CO
1.24	2920-38-9	C(#N)c1ccc(cc1)c1ccccc1
1.12	3218368	C1=CC=C(C=C1)C2=CC=C(C=C2)C=O
1.05	92524	C1=CC=C(C=C1)C2=CC=CC=C2
0.01	536-74-3	C(#C)c1ccccc1
0.78	95636	c1(c(ccc(c1)C)C)C
1.57	2113-58-8	N(=O)(=O)c1cc(ccc1)c1ccccc1
1.3	86-00-0	N(=O)(=O)c1c(cccc1)c1ccccc1
0.69	98828	CC(C)C1=CC=CC=C1
0.08	620235	C(=O)C1=CC(C)=CC=C1
-0.4	1123859	CC(CO)C1=CC=CC=C1
-0.08	108394	CC1=CC(=CC=C1)O
-0.28	582229	CC(CN)C1=CC=CC=C1
-0.24	587031	CC1=CC(=CC=C1)CO
-0.05	582-22-9	C([C@H](C)c1ccccc1)N
-0.25	620-22-4	C(#N)c1cc(C)ccc1
-0.01	104847	CC1=CC=C(C=C1)CN
-0.49	589184	CC1=CC=C(C=C1)CO
0.69	86-53-3	C(#N)c1c2c(ccc1)cccc2
-1.5	107313	C(=O)OC
-0.11	505293	C1CSCCS1
1.925	821-06-7	C(=C\CBr)\CBr
1.92	821067	C(C=CCBr)Br
0.44	533733	C1(C(=CC(=CC=1)O)O)O
-0.65	108463	C1=CC(=CC(=C1)O)O
-1.26	108736	OC1=CC(O)=CC(O)=C1
0.47	123319	C1(C=CC(=CC=1)O)O
0.75	120809	C1(C(=CC=CC=1)O)O
-0.35	108952	C1=CC=C(C=C1)O
0.85	87661	OC1=C(O)C(O)=CC=C1
1.39	92-69-3	Oc1ccc(cc1)c1ccccc1
0.13	95885	C1=CC(=C(C=C1O)O)Cl
1.35	580-51-8	Oc1cc(ccc1)c1ccccc1
-0.16	106445	CC1=CC=C(C=C1)O
-0.08	123-30-8	Nc1ccc(cc1)O
-0.39	6153395	c1c(cc(cc1O)C)O
1.02	1137424	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O
0.96	131555	C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O
1.86	95716	C1(C(=CC(=CC=1)O)C)O
0.12	95658	CC1=C(C=C(C=C1)O)C
0.65	104916	N(=O)c1ccc(cc1)O
1.26	615678	C1(Cl)=C(O)C=CC(=C1)O
1.13	2613-23-2	Clc1c(F)ccc(c1)O
1.75	95-77-2	Clc1c(Cl)ccc(c1)O
1.68	583697	C1(=CC=C(C(=C1)Br)O)O
0.25	89849	CC(=O)C1=C(C=C(C=C1)O)O
0.47	99898	CC(C)C1=CC=C(C=C1)O
-0.52	591-27-5	Nc1cc(O)ccc1
1.41	608435	C1(C)=C(C)C(O)=CC=C1O
1.8	136776	CCCCCCC1=C(C=C(C=C1)O)O
0.8	35421-08-0	C(Cl)c1ccc(cc1)O
0.62	402459	C1=CC(=CC=C1C(F)(F)F)O
1.01	101-18-8	N(c1cc(O)ccc1)c1ccccc1
0.98	99-71-8	C([C@H](C)c1ccc(cc1)O)C
0.26	95158	C1(C=CS2)=C2C=CC=C1
0.39	607-34-1	N(=O)(=O)c1c2c(ccc1)nccc2
-1.15	7223383	C#CCN(C)C
-1.61	107299	C(C)=NO
-1.61	107-29-9	C(=N\O)\C
-1.25	127060	CC(C)=NO
-1.07	96297	C(=NO)(C)CC
-1.07	96-29-7	C(\CC)(=N/O)C
0.103	5314-31-8	C(\CCCCC)(=N/O)C
0.1	5314318	C(CCCCC)(=NO)C
1.873	107-02-8	C(C=O)=C
-0.8	100641	N(O)=C1CCCCC1
0.819	5362-56-1	C(\C(C)C)=C\C=O
-0.553	107-54-0	C([C@](C#C)(C)O)C(C)C
-1.32	77758	OC(C)(C#C)CC
-1.323	77-75-8	C([C@](C#C)(C)O)C
-0.55	107540	C#CC(C)(O)CCCC
-0.91	2978587	C#CC(N)(C)C
-1.31	115195	CC(C#C)(O)C
0.617	61996-79-0	C([C@H](C#C)O)C(C)C
-0.482	4-Methyl-2-heptyn-4-ol	C(C)#C[C@](C)(O)CCC
0.62	61996790	C#CC(O)CC(C)C
-0.43	4376163	OC(CCC)(C)C#CC
0.34	78-69-3	C([C@@](CC)(C)O)CCC(C)C
0.34	78693	C(C(CC)(C)O)CCC(C)C
-1.17	75854	CC(CC)(O)C
-0.7	594398	NC(CC)(C)C
-1.58	142303	C(#CC(C)(C)O)C(C)(C)O
-0.17	66793962	C(C(C)(C)C)(CC)(CC)O
0.76	616-86-4	N(=O)(=O)c1cc(OCC)ccc1N
0.83	100-29-8	N(=O)(=O)c1ccc(cc1)OCC
0.08	88-74-4	N(=O)(=O)c1c(N)cccc1
0.72	97-02-9	N(=O)(=O)c1cc(N(=O)=O)ccc1N
0.61	4344552	CCCCOC1=CC=C(C=C1)N
0.4	89-62-3	N(=O)(=O)c1c(N)ccc(c1)C
1.38	39905572	CCCCCCOC1=CC=C(C=C1)N
0.97	39905505	CCCCCOC1=CC=C(C=C1)N
0.3	622388	C(SC1=CC=CC=C1)C
-0.14	103731	CCOC1=CC=CC=C1
0.58	23676086	C(c1ccc(cc1)OCC)(=O)OC
0.72	555-03-3	N(=O)(=O)c1cc(OC)ccc1
0.07	10031820	C1=C(C=CC(=C1)C=O)OCC
1.42	7244-78-2	O(CCCC)c1ccc(cc1)N(=O)=O
0.76	616864	CCOC1=CC(=C(C=C1)N)[N+](=O)[O-]
0.54	100-17-4	N(=O)(=O)c1ccc(cc1)OC
0.84	606-22-4	N(=O)(=O)c1c(N)c(N(=O)=O)ccc1
1.66	6641-64-1	N(=O)(=O)c1c(N)cc(c(c1)Cl)Cl
-0.69	90040	COC1=CC=CC=C1N
0.01	622628	CCOC1=CC=C(C=C1)O
0.88	119-34-6	N(=O)(=O)c1c(O)ccc(c1)N
0.03	99-09-2	N(=O)(=O)c1cc(N)ccc1
0.23	591311	COC1=CC=CC(=C1)C=O
0.86	874793	CCCSC1=CC=CC=C1
0.94	618-87-1	N(=O)(=O)c1cc(N(=O)=O)cc(c1)N
0.15	87-25-2	C(OCC)(=O)c1c(N)cccc1
-0.21	2065238	c1(ccccc1)OCC(OC)=O
-0.05	123115	O=CC1=CC=C(OC)C=C1
-0.73	621885	O(CC(N)=O)c1ccccc1
0.72	5736889	C1=C(C=CC(=C1)C=O)OCCCC
-0.36	94-71-3	O(CC)c1c(O)cccc1
0.25	104938	CC1=CC=C(C=C1)OC
1.18	5736914	CCCCCOC1=CC=C(C=C1)C=O
0.54	5651887	C1=CC=CC=C1SCC#C
0.52	18979-50-5	O(CCC)c1ccc(cc1)O
-0.06	613456	C(C1=C(C=C(C=C1)OC)OC)(=O)
-0.39	622468	C(Oc1ccccc1)(=O)N
0.01	1527895	N#Cc1cc(OC)ccc1
0.764	533-68-6	C([C@@H](CC)Br)(OCC)=O
0.76	533686	CCC(Br)C(=O)OCC
0.699	615-83-8	C([C@@H](CCC)Br)(OCC)=O
0.7	615838	CCOC(=O)C(Br)CCC
1.5	5445294	CCOC(C(Br)CCCCCC)=O
0.86	615-96-3	C([C@H](CCCC)Br)(OCC)=O
0.86	615963	C(C(CCCC)Br)(OCC)=O
1.5	5445-29-4	C([C@H](CCCCCC)Br)(OCC)=O
1.024	3196-15-4	C([C@H](CC)Br)(OC)=O
1.02	3196154	C(C(CC)Br)(OC)=O
1.057	535-11-5	C(OCC)([C@@H](Br)C)=O
0.63	14064109	C(C(OCC)=O)(C(OCC)=O)Cl
-0.43	535137	C(C(C)Cl)(=O)OCC
1.06	535115	C(C(C)Br)(=O)OCC
-0.431	535-13-7	C(OCC)([C@H](C)Cl)=O
1.44	609110	C(C(C(Br)C)Br)(OCC)=O
1.438	609-11-0	C([C@@H]([C@@H](Br)C)Br)(OCC)=O
-0.5	623712	O=C(OCC)CCCl
0.13	539742	O=C(OCC)CCBr
2.21	3674133	C(C(C(=O)OCC)Br)Br
0.02	609121	O=C(OCC)C(Br)C(C)C
0.021	609-12-1	C([C@@H](C(C)C)Br)(OCC)=O
2.208	3674-13-3	C([C@@H](CBr)Br)(OCC)=O
0.15	600000	CCOC(=O)C(C)(C)Br
-0.28	3153364	ClCCCC(=O)OCC
-0.03	2969815	C(CCC(=O)OCC)Br
0.12	80580	C(C(CC)Br)(=O)O
-0.95	105373	C(CC)(=O)OCC
-1.0	105533	C(CC(=O)OCC)(=O)OCC
-0.85	123251	O(C(CCC(OCC)=O)=O)CC
0.122	80-58-0	C([C@H](CC)Br)(=O)O
0.59	25542625	O(CC)C(=O)CCCCCBr
0.22	14660527	CCOC(=O)CCCCBr
1.0	16230287	CCC(C(CC)Br)Br
0.99	16230-28-7	C([C@H]([C@@H](CC)Br)Br)C
0.39	4753597	O(CCCCBr)C(C)=O
-0.72	108645	C(CC(C)C)(=O)OCC
-0.13	20395282	C(COC(C)=O)CCCCl
0.29	15848223	O(CCCCCBr)C(=O)C
0.7	16205-90-6	C(C(OCC)=O)#CCCC
1.106	16930-95-3	C(C#CCCCC)(OCC)=O
1.233	10519-20-7	C(C#CCCCCC)(OCC)=O
2.04	262204	C12=C(C=CC=C2)SC3=C(C=CC=C3)O1
1.66	108985	C1(C=CC=CC=1)S
1.26	67367	C1=CC=C(C=C1)OC2=CC=C(C=C2)C=O
0.18	100685	CSC1=CC=CC=C1
-0.1	100663	COC1=CC=CC=C1
0.42	1822737	C1(=CC=CC=C1)SC=C
2.57	576556	CC1=C(C(=C(C(=C1Br)Br)Br)Br)O
0.98	488-47-1	Brc1c(Br)c(Br)c(c(c1Br)O)O
1.63	771619	C1(=C(C(=C(C(=C1F)F)F)F)F)O
2.07	87865	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
2.66	608719	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
1.7	1198556	C1(Cl)=C(Cl)C(Cl)=C(O)C(=C1Cl)O
1.28	7530270	CC1=CC(=CC(=C1O)Cl)Br
1.2	88040	CC1=CC(=CC(=C1Cl)C)O
1.27	7463-51-6	Brc1c(C)cc(cc1C)O
1.84	771631	OC1=C(F)C(=C(C(=C1F)F)O)F
2.11	87876	C1(=C(C(=C(C(=C1O)Cl)Cl)O)Cl)Cl
0.69	1124045	CC1=CC(=C(C=C1C)Cl)O
2.72	4901513	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O
0.54	615747	CC1=CC(=C(C=C1)Cl)O
1.28	527184	OC1=C(C)C(C)=C(O)C(C)=C1C
2.43	880-78-4	N(=O)(=O)c1c(F)c(F)c(c(c1F)F)F
-1.37	1071938	NNC(CCCCC(NN)=O)=O
-0.97	3538656	C(C(NN)=O)CC
-1.38	1068571	C(NN)(C)=O
1.19	1191624	C(S)CCCCCCCS
0.63	1191431	SCCCCCCS
-0.87	624840	C(NN)=O
-0.48	937393	C1=CC=C(C=C1)CC(=O)NN
1.57	15484807	O(C(=O)c1ccc(C(C)(C)C)cc1)C=C
0.57	120-47-8	C(OCC)(=O)c1ccc(cc1)O
0.76	98-06-6	C(C)(C)(C)c1ccccc1
0.71	99-77-4	C(OCC)(=O)c1ccc(cc1)N(=O)=O
0.48	7781-98-8	C(OCC)(=O)c1cc(O)ccc1
0.08	99-76-3	C(OC)(=O)c1ccc(cc1)O
1.33	94-26-8	C(OCCCC)(=O)c1ccc(cc1)O
1.53	51934419	C(c1ccc(I)cc1)(=O)OCC
1.33	5798754	CCOC(=O)C1=CC=C(C=C1)Br
1.37	2049969	O(CCCCC)C(=O)c1ccccc1
0.37	7153222	N#Cc1ccc(C(=O)OCC)cc1
0.3	1571080	C(OC)(=O)c1ccc(C=O)cc1
0.1	532558	C1=CC=C(C=C1)C(=O)N=C=S
2.63	38713563	O(CCCCCCCCC)C(=O)c1ccc(O)cc1
1.48	6521308	CC(C)CCOC(=O)C1=CC=C(C=C1)O
0.77	94304	CCOC(=O)C1=CC=C(C=C1)OC
1.55	94-18-8	C(OCc1ccccc1)(=O)c1ccc(cc1)O
-0.14	2150449	C(OC)(=O)c1cc(O)cc(c1)O
0.48	877656	CC(C)(C)C1=CC=C(C=C1)CO
2.51	5153-25-3	C(OC[C@H](CCCC)CC)(=O)c1ccc(cc1)O
1.35	93992	c1ccccc1C(=O)Oc2ccccc2
1.69	628308	C(N=C=S)CC
1.72	592825	C(CN=C=S)CC
2.72	52714520	S=C=NCCCN=C=S
1.75	4404459	C(N=C=S)CCCCC
1.71	629129	C(N=C=S)CCCC
1.63	542858	CCN=C=S
0.35	597977	C(N=C=S)(C)(C)CC
2.06	57067	C=CCN=C=S
2.54	2627272	c1ccccc1CCCN=C=S
0.06	100618	CNC1=CC=CC=C1
0.07	103695	CCNC1=CC=CC=C1
0.4	103-84-4	N(C(C)=O)c1ccccc1
-0.39	102023	N(C(NC(=N)N)=N)c1ccccc1
0.61	103855	c1ccccc1NC(N)=S
-0.01	637536	CC(=S)NC1=CC=CC=C1
0.31	18358639	CNC1=CC=C(C=C1)C(=O)OC
-0.16	95534	CC1=CC=CC=C1N
-0.23	62533	C1=CC=C(C=C1)N
-1.07	5344901	C1=CC=C(C(=C1)CO)N
-0.16	621421	CC(=O)NC1=CC(=CC=C1)O
0.71	147218-98-2	C(=N/NC(NC)=S)(\C)c1c(O)cc(c(c1)C)C
0.71	36436654	CC1=C(C=C(C(=C1)C(=O)C)O)C
0.31	1450-72-2	C(C)(=O)c1c(O)ccc(c1)C
0.19	875-59-2	C(C)(=O)c1c(C)cc(cc1)O
-0.38	101349-82-0	C(#N)c1c(C)ccc(c1)O
0.6	16532799	C1=CC(=CC=C1CC#N)Br
0.66	140534	C1=CC(=CC=C1CC#N)Cl
0.67	1585075	CCC1=CC=C(C=C1)Br
-0.36	140294	C1=CC=C(C=C1)CC#N
-0.26	1194-02-1	C(#N)c1ccc(cc1)F
0.0	623-03-0	C(#N)c1ccc(cc1)Cl
0.29	623-00-7	C(#N)c1ccc(cc1)Br
0.28	873-32-5	C(#N)c1c(Cl)cccc1
-0.06	766-84-7	C(#N)c1cc(Cl)ccc1
0.13	555-21-5	N(=O)(=O)c1ccc(cc1)CC#N
0.14	156412	C1=CC(=CC=C1CCN)Cl
0.32	1875883	C1=CC(=CC=C1CCO)Cl
-0.38	14191958	C1=CC(=CC=C1CC#N)O
-0.76	3544250	C1=CC(=CC=C1CC#N)N
0.47	106387	CC1=CC=C(C=C1)Br
1.5	134850	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
1.26	90904	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Br
1.71	939800	c1cc(c(cc1C#N)[N+](=O)[O-])Cl
1.55	1016780	C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)Cl
-0.16	645590	C1=CC=C(C=C1)CCC#N
-0.34	91156	N#Cc1c(C#N)cccc1
0.15	2046186	C1=CC=C(C=C1)CCCC#N
2.55	1835490	c1(c(c(c(C#N)c(c1F)F)F)F)C#N
0.44	5922601	C1=CC(=C(C=C1Cl)C#N)N
-0.24	529191	CC1=CC=CC=C1C#N
1.07	95750	CC1=CC(=C(C=C1)Cl)Cl
0.4878	5197-62-6	C(COCCO)OCCCl
-1.79	109853	COCCN
-1.37	111762	C(CO)OCCCC
1.723	261763-02-4	C(F)(F)(F)c1cc(C=O)c(c(c1)Cl)F
1.499	56961-75-2	C(=O)c1c(Cl)c(Cl)cc(c1)Cl
0.41	587042	C(=O)C1=CC(Cl)=CC=C1
0.51	3132998	C1(=CC=CC(=C1)C=O)Br
0.15	456484	C(C1=CC(=CC=C1)F)(=O)
0.4	104881	C1=CC(=CC=C1C=O)Cl
-0.13	459574	O=CC1=CC=C(F)C=C1
0.59	1122914	C(=O)C1=CC=C(C=C1)Br
0.89	2973775	O=CC1=CC(Br)=C(O)C(=C1)Br
0.487	89985	C(C1C(=CC=CC=1)Cl)=O
0.48	6630337	C1=CC=C(C(=C1)C=O)Br
0.82	653372	C(=O)C1=C(C(=C(C(=C1F)F)F)F)F
0.53	6361-21-3	C(=O)c1cc(N(=O)=O)ccc1Cl
1.78	879-39-0	N(=O)(=O)c1c(Cl)c(Cl)c(c(c1)Cl)Cl
0.08	446526	C(C1=C(C=CC=C1)F)(=O)
0.61	2973786	O=CC1=CC=C(C(Br)=C1)O
2.6	2678-21-9	N(=O)(=O)c1c(Cl)c(N(=O)=O)cc(c1Cl)Cl
1.04	874420	C1=CC(=C(C=C1Cl)Cl)C=O
2.21	6306-39-4	N(=O)(=O)c1c(N(=O)=O)cc(c(c1)Cl)Cl
1.53	89-69-0	N(=O)(=O)c1c(Cl)cc(c(c1)Cl)Cl
1.65	90595	C1=C(C=C(C(=C1Br)O)C=O)Br
1.55	90608	C1=C(C=C(C(=C1Cl)O)C=O)Cl
2.35	2631778	C(=O)c1c(O)c(I)cc(c1)I
1.89	771-69-7	N(=O)(=O)c1c(F)c(F)c(cc1)F
1.87	314-41-0	N(=O)(=O)c1c(F)c(F)c(cc1F)F
1.34	13608872	CC(=O)C1=C(C(=C(C=C1)Cl)Cl)Cl
1.07	3209-22-1	N(=O)(=O)c1c(Cl)c(Cl)ccc1
1.51	17700-09-3	N(=O)(=O)c1c(Cl)c(Cl)c(cc1)Cl
0.155	6361-22-4	C(=O)c1c(N(=O)=O)cccc1Cl
2.82	20098-38-8	N(=O)(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)N(=O)=O
1.37	3460-18-2	N(=O)(=O)c1c(Br)ccc(c1)Br
1.13	89-61-2	N(=O)(=O)c1c(Cl)ccc(c1)Cl
2.42	28689-08-9	N(=O)(=O)c1c(N(=O)=O)cc(cc1Cl)Cl
1.1	524-42-5	O=C1c2c(C=CC1=O)cccc2
1.51	614471	C(C=Cc1ccccc1)(=O)c1ccccc1
0.99	103366	CCOC(=O)C=CC1=CC=CC=C1
1.23	7778838	CCCOC(=O)C=CC1=CC=CC=C1
0.29	19495080	O=C(N=C=S)C=CC1=CC=CC=C1
1.48	844519	C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3
1.53	538658	CCCCOC(=O)C=CC1=CC=CC=C1
0.85	363-03-1	O=C1C(=CC(C=C1)=O)c1ccccc1
0.08	582-24-1	C(CO)(=O)c1ccccc1
-0.87	3240093	C(CC(C)=C)C(C)=O
-1.4	110134	CC(CCC(C)=O)=O
-1.22	107879	CC(CCC)=O
-1.141	109-49-9	C(C(C)=O)CC=C
-1.75	78933	C(=O)(C)CC
-0.49	110430	CC(CCCCC)=O
1.67	6175491	CC(CCCCCCCCCC)=O
1.53	112129	CC(CCCCCCCCC)=O
-1.34	591786	CC(CCCC)=O
0.66	821556	CC(CCCCCCC)=O
2.12	593088	CC(CCCCCCCCCCC)=O
0.58	693549	CC(CCCCCCCC)=O
-0.15	111137	CC(CCCCCC)=O
-0.45	110930	CC(=CCCC(C)=O)C
-1.323	2758-18-1	CC1=CC(CC1)=O
-0.27	123546	CC(CC(C)=O)=O
-0.65	110123	CC(CCC(C)C)=O
-0.67	123193	CCCC(CCC)=O
1.656	1629-60-3	C(CCC)(C=C)=O
-0.826	1120-73-6	CC=1C(=O)CCC1
0.13	14090870	CC(=O)CC(=O)CCCC
0.51	6175231	C(C(=O)C)C(=O)CCCCC
-1.22	4253912	C(S(CCC)=O)CC
1.914	4312-99-6	C(CCCCC)(C=C)=O
