Cid	Smiles	Name	Formula	Term_List	TreeIds
33703	C=COC=C.C1=CC(=O)OC1=O	Pyran Copolymer	C8H8O4	['Antiviral Agents', 'Antineoplastic Agents']	['D27.505.954.122.388', 'D27.505.954.248']
4895	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O	prednisolone acetate	C23H30O6	['Anti-Inflammatory Agents']	['D27.505.954.158']
5736	CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl	zotepine	C18H18ClNOS	['Antipsychotic Agents', 'Antipsychotic Agents', 'Antipsychotic Agents']	['D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331', 'D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331', 'D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331']
207841	C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O.Cl	Procyclidine	C19H30ClNO	['Muscarinic Antagonists', 'Muscarinic Antagonists', 'Antiparkinson Agents']	['D27.505.519.625.120.200.500;D27.505.696.577.120.200.500', 'D27.505.519.625.120.200.500;D27.505.696.577.120.200.500', 'D27.505.954.427.090.050']
6450800	CCCCN(CCCC)CC(C1=C2C3=C(C=C(C=C3)Cl)C(=CC4=CC=C(C=C4)Cl)C2=CC(=C1)Cl)O.CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C	artemether-lumefantrine combination	C46H58Cl3NO6	['Antimalarials']	['D27.505.954.122.250.100.085']
6917792	C1CN=C(N1)NN=CC2=C3C=CC=CC3=C(C4=CC=CC=C42)C=NNC5=NCCN5.Cl.Cl	bisantrene	C22H24Cl2N8	['Antibiotics, Antineoplastic']	['D27.505.954.248.106']
23994	[Zn]	Zinc	Zn	['Trace Elements']	['D27.505.696.377.605.555;G07.203.300.631.555;J02.500.631.555']
44123450	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)[NH+]=C(N)N)O)[NH+]=C(N)N)OC3C(C(C(C(O3)CO)O)O)[NH2+]C)(CO)O	Dihydrostreptomycin Sulfate	C21H44N7O12+3	['Anti-Bacterial Agents']	['D27.505.954.122.085']
3100	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	Diphenhydramine	C17H21NO	['Anti-Allergic Agents', 'Hypnotics and Sedatives', 'Hypnotics and Sedatives', 'Histamine H1 Antagonists', 'Histamine H1 Antagonists', 'Antiemetics', 'Antiemetics', 'Antiemetics', 'Anesthetics, Local', 'Anesthetics, Local', 'Anesthetics, Local']	['D27.505.954.016', 'D27.505.696.277.350;D27.505.954.427.210.350', 'D27.505.696.277.350;D27.505.954.427.210.350', 'D27.505.519.625.375.425.400;D27.505.696.577.375.425.400', 'D27.505.519.625.375.425.400;D27.505.696.577.375.425.400', 'D27.505.696.663.050.030;D27.505.954.427.095;D27.505.954.483.200', 'D27.505.696.663.050.030;D27.505.954.427.095;D27.505.954.483.200', 'D27.505.696.663.050.030;D27.505.954.427.095;D27.505.954.483.200', 'D27.505.696.277.100.200;D27.505.696.663.850.025;D27.505.954.427.210.100.200', 'D27.505.696.277.100.200;D27.505.696.663.850.025;D27.505.954.427.210.100.200', 'D27.505.696.277.100.200;D27.505.696.663.850.025;D27.505.954.427.210.100.200']
4452	CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl	nemonapride	C21H26ClN3O2	['Dopamine Antagonists', 'Dopamine Antagonists', 'Antipsychotic Agents', 'Antipsychotic Agents', 'Antipsychotic Agents']	['D27.505.519.625.150.175;D27.505.696.577.150.175', 'D27.505.519.625.150.175;D27.505.696.577.150.175', 'D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331', 'D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331', 'D27.505.696.277.950.040;D27.505.954.427.210.950.040;D27.505.954.427.700.872.331']
44564108	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)SC3CC(OC3COP(=O)(O)SC4CC(OC4COP(=O)(O)SC5CC(OC5COP(=O)(O)SC6CC(OC6COP(=O)(O)SC7CC(OC7COP(=O)(O)SC8CC(OC8COP(=O)(O)SC9CC(OC9COP(=O)(O)SC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)(O)SC1C(OC(C1OCCOC)N1C=C(C(=O)NC1=O)C)COP(=O)(O)SC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)(O)SC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=O)(O)SC1C(OC(C1OCCOC)N1C=NC2=C1N=C(NC2=O)N)CO)N1C=NC2=C1N=CN=C2N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=C(C(=NC1=O)N)C)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=NC1=O)N)C)SP(=O)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)SP(=O)(O)OCC1C(CC(O1)N1C=C(C(=NC1=O)N)C)SP(=O)(O)OCC1C(C(C(O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)SP(=O)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)SP(=O)(O)OCC1C(C(C(O1)N1C=NC2=C1N=CN=C2N)OCCOC)SP(=O)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)SP(=O)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)O	mipomersen	C230H324N67O122P19S19	['Anticholesteremic Agents', 'Anticholesteremic Agents']	['D27.505.519.186.071.202;D27.505.954.557.500.202', 'D27.505.519.186.071.202;D27.505.954.557.500.202']
1236	CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC	niguldipine	C36H39N3O6	['Calcium Channel Blockers', 'Calcium Channel Blockers', 'Antineoplastic Agents', 'Antihypertensive Agents']	['D27.505.519.562.249;D27.505.954.411.192', 'D27.505.519.562.249;D27.505.954.411.192', 'D27.505.954.248', 'D27.505.954.411.162']
163659	CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O	Plicamycin	C52H76O24	['Nucleic Acid Synthesis Inhibitors', 'Protein Synthesis Inhibitors', 'Antibiotics, Antineoplastic']	['D27.505.519.389.675', 'D27.505.519.389.760', 'D27.505.954.248.106']
121750	CC1(N=C(N=C(N1OCCCOC2=CC(=C(C=C2Cl)Cl)Cl)N)N)C	BRL 6231	C14H18Cl3N5O2	['Folic Acid Antagonists', 'Antimalarials']	['D27.505.519.389.350', 'D27.505.954.122.250.100.085']
9960616	CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C.O.O.O.Cl.Cl.Cl	bisbenzimide ethoxide trihydrochloride	C27H37Cl3N6O4	['Radiation-Sensitizing Agents', 'Radiation-Protective Agents']	['D27.505.954.600', 'D27.505.696.706.776;D27.720.799.763']
16212175	C1=CC(=CC=C1C=NNC(=NN=CC2=CC=C(C=C2)Cl)N)Cl.Cl	Robenidine	C15H14Cl3N5	['Coccidiostats']	['D27.505.954.122.250.100.170']
4048	CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C	Megestrol Acetate	C24H32O4	['Antineoplastic Agents, Hormonal']	['D27.505.954.248.169']
35740	C1=C(C(=C(C(=C1I)NC(=O)CCOCCOCCOCCOCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I	iodoxamic acid	C26H26I6N2O10	['Contrast Media']	['D27.505.259.500;D27.720.259']
5310999	C1COCCN1C2C(C(CC2=O)OCC3=CC=C(C=C3)C4=CC=CC=C4)CCC=CCCC(=O)O	AH 23848	C29H35NO5	['Anti-Arrhythmia Agents']	['D27.505.954.411.097']
27400	CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1	Pizotyline	C19H21NS	['Analgesics, Non-Narcotic', 'Analgesics, Non-Narcotic', 'Serotonin Antagonists', 'Serotonin Antagonists', 'Antidepressive Agents']	['D27.505.696.663.850.014.040;D27.505.954.427.040.100', 'D27.505.696.663.850.014.040;D27.505.954.427.040.100', 'D27.505.519.625.850.850;D27.505.696.577.850.850', 'D27.505.519.625.850.850;D27.505.696.577.850.850', 'D27.505.954.427.700.122']
443980	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F	flumethasone pivalate	C27H36F2O6	['Glucocorticoids']	['D06.472.040.543;D27.505.696.399.472.488']
108018	C(CS(=O)(=O)O)NCl	N-chlorotaurine	C2H6ClNO3S	['Enzyme Inhibitors', 'Antiviral Agents']	['D27.505.519.389', 'D27.505.954.122.388']
57507849	C(C(=O)O)C(CC(=O)[O-])(C(=O)[O-])O.[Mg+2]	magnesium citrate	C6H6MgO7	['Cathartics']	['D27.505.954.483.396']
151193	C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.C(CC(=O)O)C(=O)O	vatalanib	C24H21ClN4O4	['Protein Kinase Inhibitors']	['D27.505.519.389.755']
56842033	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CO)NC(=O)C4CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4)CO)CC5=CN=CN5)CCCCN)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)CNC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CC7=CC=C(C=C7)O)NC(=O)C(CCCCN)N)C(=O)O)CCCCN)CC8=CN=CN8)CC(=O)N)CCC(=O)N)CC9=CN=CN9)C(C)O)C)CC1=CNC2=CC=CC=C21)C)CCSC)C)CC(=O)N)CC(=O)N)C(C)CC	pediocin PA-1	C196H293N61O60S5	['Anti-Bacterial Agents']	['D27.505.954.122.085']
36284	CC(CCC(=O)C1=COC=C1)O	4-ipomeanol	C9H12O3	['Antineoplastic Agents']	['D27.505.954.248']
16204749	CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O	Ristocetin	C95H110N8O44	['Anti-Bacterial Agents']	['D27.505.954.122.085']
98042565	CC12CC(C3C(C1CCC2(C(=O)COP(=O)([O-])[O-])O)CCC4=CC(=O)C=CC34C)O	prednisolone phosphate	C21H27O8P-2	['Glucocorticoids']	['D06.472.040.543;D27.505.696.399.472.488']
86101	CCN1CCCC1CNC(=O)C2=CC(=CC(=C2OC)OC)I	epidepride	C16H23IN2O3	['Contrast Media']	['D27.505.259.500;D27.720.259']
91268	CN1C2=C(C(=O)N(C1=O)C)NC=N2.O	Theophylline	C7H10N4O3	['Purinergic P1 Receptor Antagonists', 'Purinergic P1 Receptor Antagonists', 'Vasodilator Agents', 'Phosphodiesterase Inhibitors', 'Bronchodilator Agents', 'Bronchodilator Agents']	['D27.505.519.625.725.400.100;D27.505.696.577.725.400.100', 'D27.505.519.625.725.400.100;D27.505.696.577.725.400.100', 'D27.505.954.411.918', 'D27.505.519.389.735', 'D27.505.696.663.050.110;D27.505.954.796.050.100', 'D27.505.696.663.050.110;D27.505.954.796.050.100']
16078940	C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3.O.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl	JM 3100	C28H64Cl8N8O	['Anti-HIV Agents']	['D27.505.954.122.388.077.088']
6917856	CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(=O)C)O.Cl	befunolol	C16H22ClNO4	['Adrenergic beta-Antagonists', 'Adrenergic beta-Antagonists', 'Adrenergic beta-Agonists', 'Adrenergic beta-Agonists']	['D27.505.519.625.050.200.200;D27.505.696.577.050.200.200', 'D27.505.519.625.050.200.200;D27.505.696.577.050.200.200', 'D27.505.519.625.050.100.200;D27.505.696.577.050.100.200', 'D27.505.519.625.050.100.200;D27.505.696.577.050.100.200']
5281035	CC1=CC(=C(N1C2=CC=CC=C2)C)C=CC3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C	pyrvinium	C26H28N3+	['Anthelmintics']	['D27.505.954.122.250.075']
25162931	C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)[O-])OC5=C3C=CC(=C5)[O-].[Na+]	Fluorescein	C20H10NaO5-	['Contrast Media']	['D27.505.259.500;D27.720.259']
71955	CC(C)NCC(COC1=CC=CC2=C1C=CC2)O	indenolol	C15H21NO2	['Vasodilator Agents', 'Antihypertensive Agents', 'Anti-Arrhythmia Agents', 'Adrenergic beta-Antagonists', 'Adrenergic beta-Antagonists']	['D27.505.954.411.918', 'D27.505.954.411.162', 'D27.505.954.411.097', 'D27.505.519.625.050.200.200;D27.505.696.577.050.200.200', 'D27.505.519.625.050.200.200;D27.505.696.577.050.200.200']
5748534	C1CCN(C(=O)C(C1)NC(=O)CCOC(=O)C(CCCCCN(C=O)O)NC(=O)C2COC(=C3C=CC=CC3=O)N2)O	mycobactins	C27H37N5O10	['Iron Chelating Agents']	['D27.505.519.914.500.410;D27.720.832.500.410']
107882	CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O.CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O.O.Cl.Cl	Apomorphine	C34H38Cl2N2O5	['Dopamine Agonists', 'Dopamine Agonists']	['D27.505.519.625.150.151;D27.505.696.577.150.151', 'D27.505.519.625.150.151;D27.505.696.577.150.151']
9962646	CC1(C(C(C(C(O1)OC23C=CC=C2C#CC4=CC#CC3OC5=C(C=C(C=C5Cl)C(CC(=O)OCC4OC(=O)C6=CC(=CC7=C6NC(=O)C(=C)O7)OC)N)O)O)O)N(C)C)C	C 1027	C43H42ClN3O13	['Antibiotics, Antineoplastic']	['D27.505.954.248.106']
6000	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC	Tubocurarine	C37H41N2O6+	['Nicotinic Antagonists', 'Nicotinic Antagonists', 'Neuromuscular Nondepolarizing Agents']	['D27.505.519.625.120.200.700;D27.505.696.577.120.200.700', 'D27.505.519.625.120.200.700;D27.505.696.577.120.200.700', 'D27.505.696.663.700.710.575']
1967	CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C	2,3,5-trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone	C21H26O3	['Lipoxygenase Inhibitors']	['D27.505.519.389.480']
6917670	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O.O.O	Pefloxacin	C18H28FN3O8S	['Cytochrome P-450 CYP1A2 Inhibitors', 'Cytochrome P-450 CYP1A2 Inhibitors', 'Topoisomerase II Inhibitors', 'Topoisomerase II Inhibitors', 'Anti-Bacterial Agents']	['D27.505.389.500.120;D27.505.519.389.335.120', 'D27.505.389.500.120;D27.505.519.389.335.120', 'D27.505.519.389.892.750;D27.505.954.248.794.750', 'D27.505.519.389.892.750;D27.505.954.248.794.750', 'D27.505.954.122.085']
77993	CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4	eletriptan	C22H26N2O2S	['Serotonin Receptor Agonists', 'Serotonin Receptor Agonists']	['D27.505.519.625.850.800;D27.505.696.577.850.800', 'D27.505.519.625.850.800;D27.505.696.577.850.800']
9805498	CC12CC(C3C(C1CCC2(C(=O)COP(=O)(O)O)O)CCC4=CC(=O)C=CC34C)O.[Na].[Na]	prednisolone phosphate	C21H29Na2O8P	['Glucocorticoids']	['D06.472.040.543;D27.505.696.399.472.488']
5235	[F-].[Na+]	Sodium Fluoride	FNa	['Cariostatic Agents']	['D25.223;D27.505.696.706.222;D27.720.102.223;D27.720.799.113;J01.637.051.223']
68593	CCCCCCCCCCCCCCC1(CO1)C(=O)OC	methyl 2-tetradecylglycidate	C18H34O3	['Hypoglycemic Agents']	['D27.505.696.422']
5281067	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O	Brompheniramine	C20H23BrN2O4	['Anti-Allergic Agents', 'Histamine H1 Antagonists', 'Histamine H1 Antagonists']	['D27.505.954.016', 'D27.505.519.625.375.425.400;D27.505.696.577.375.425.400', 'D27.505.519.625.375.425.400;D27.505.696.577.375.425.400']
1725	C1=CC(=CC=C1C(=N)N)N	4-aminobenzamidine	C7H9N3	['Serine Proteinase Inhibitors', 'Antineoplastic Agents']	['D27.505.519.389.745.800', 'D27.505.954.248']
73417083	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C.CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C	Felodipine	C36H38Cl4N2O8	['Vasodilator Agents', 'Calcium Channel Blockers', 'Calcium Channel Blockers', 'Antihypertensive Agents', 'Anti-Arrhythmia Agents']	['D27.505.954.411.918', 'D27.505.519.562.249;D27.505.954.411.192', 'D27.505.519.562.249;D27.505.954.411.192', 'D27.505.954.411.162', 'D27.505.954.411.097']
12835	COC1=CC2=C(C=C1)NC=C2CCO	methoxytryptophol	C11H13NO2	['Anti-Anxiety Agents', 'Anti-Anxiety Agents', 'Anti-Anxiety Agents']	['D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015', 'D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015', 'D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015']
57347117	CC(=NNC(=NCCCN)N)C=NNC(=NCCCN)N	methylglyoxal bis(3-aminopropylamidinohydrazone)	C11H26N10	['Ornithine Decarboxylase Inhibitors']	['D27.505.519.389.705']
441336	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C	Mometasone Furoate	C27H30Cl2O6	['Anti-Allergic Agents', 'Dermatologic Agents', 'Anti-Inflammatory Agents']	['D27.505.954.016', 'D27.505.954.444', 'D27.505.954.158']
131938	C1CC2CNC(CC2CC1CP(=O)(O)O)C(=O)O	LY 235959	C11H20NO5P	['Excitatory Amino Acid Antagonists', 'Excitatory Amino Acid Antagonists', 'Antiparkinson Agents']	['D27.505.519.625.190.300;D27.505.696.577.190.300', 'D27.505.519.625.190.300;D27.505.696.577.190.300', 'D27.505.954.427.090.050']
6426739	CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C	Penicillin V	C16H17N2O5S-	['Anti-Bacterial Agents']	['D27.505.954.122.085']
5624	CC1=C(C(=C2CCC(OC2=C1C)(C)CN3CCN(CC3)C4=NC(=NC(=C4)N5CCCC5)N6CCCC6)C)O	U 78517F	C30H44N6O2	['Anti-Asthmatic Agents', 'Neuroprotective Agents', 'Neuroprotective Agents', 'Antioxidants', 'Antioxidants']	['D27.505.954.796.050', 'D27.505.696.706.548;D27.505.954.427.575', 'D27.505.696.706.548;D27.505.954.427.575', 'D27.505.519.217;D27.505.696.706.125;D27.720.799.047', 'D27.505.519.217;D27.505.696.706.125;D27.720.799.047']
76960797	CCCN(CCC)C(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=CC=C2.CCCN(CCC)C(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=CC=C2	tiropramide	C56H82N6O6	['Parasympatholytics']	['D27.505.696.663.050.650']
18087	CC1=C(C(=O)C(=C(N1)C)Cl)Cl	Clopidol	C7H7Cl2NO	['Coccidiostats']	['D27.505.954.122.250.100.170']
39212	CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O	flunixin meglumine	C21H28F3N3O7	['Anti-Inflammatory Agents, Non-Steroidal', 'Anti-Inflammatory Agents, Non-Steroidal', 'Anti-Inflammatory Agents, Non-Steroidal']	['D27.505.696.663.850.014.040.500;D27.505.954.158.030;D27.505.954.329.030', 'D27.505.696.663.850.014.040.500;D27.505.954.158.030;D27.505.954.329.030', 'D27.505.696.663.850.014.040.500;D27.505.954.158.030;D27.505.954.329.030']
39214	CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O	Nimustine	C9H13ClN6O2	['Antineoplastic Agents']	['D27.505.954.248']
9887258	CCCC(=O)C1=CN=C2C(=C1NC3=CC=CC=C3C)C=CC=C2OCCO	3-butyryl-4-(2-methylphenylamino)-8-(2-hydroxyethoxy)quinoline	C22H24N2O3	['Proton Pump Inhibitors']	['D27.505.519.389.848']
114894	CC(C)OC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N	glutathione monoisopropyl ester	C13H23N3O6S	['Free Radical Scavengers']	['D27.505.519.217.500']
2366	CNCCC1=CC=CC=N1	Betahistine	C8H12N2	['Histamine Agonists', 'Histamine Agonists', 'Vasodilator Agents']	['D27.505.519.625.375.400;D27.505.696.577.375.400', 'D27.505.519.625.375.400;D27.505.696.577.375.400', 'D27.505.954.411.918']
56971	C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4	ipsapirone	C19H23N5O3S	['Serotonin Receptor Agonists', 'Serotonin Receptor Agonists', 'Anti-Anxiety Agents', 'Anti-Anxiety Agents', 'Anti-Anxiety Agents']	['D27.505.519.625.850.800;D27.505.696.577.850.800', 'D27.505.519.625.850.800;D27.505.696.577.850.800', 'D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015', 'D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015', 'D27.505.696.277.950.015;D27.505.954.427.210.950.015;D27.505.954.427.700.872.015']
72078	CC12CC(C3C(C1CCC2(C(=O)COP(=O)(O)O)O)CCC4=CC(=O)C=CC34C)O	prednisolone phosphate	C21H29O8P	['Glucocorticoids']	['D06.472.040.543;D27.505.696.399.472.488']
9913767	CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3	selexipag	C26H32N4O4S	['Antihypertensive Agents']	['D27.505.954.411.162']
23725625	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	olaparib	C24H23FN4O3	['Antineoplastic Agents', 'Poly(ADP-ribose) Polymerase Inhibitors', 'Poly(ADP-ribose) Polymerase Inhibitors']	['D27.505.954.248', 'D27.505.519.389.739;D27.505.954.248.692', 'D27.505.519.389.739;D27.505.954.248.692']
