Term;auc
Histamine Antagonists;0.987418820141
Adrenergic Agents;0.896799550814
Antidepressive Agents, Tricyclic;0.885109289617
Immunosuppressive Agents;0.99776867031
Glucocorticoids;0.909024600491
Antidotes;0.750926445817
Calcium Chelating Agents;0.995355191257
Cytochrome P-450 CYP1A2 Inhibitors;0.863307130825
Antineoplastic Agents, Alkylating;0.964034765577
Adrenergic beta-1 Receptor Antagonists;0.890829694323
Cyclooxygenase Inhibitors;0.992344148742
Anti-Inflammatory Agents, Non-Steroidal;0.903554140972
Vitamin B Complex;0.746929344521
Expectorants;0.804817376532
Anti-Bacterial Agents;0.973157637872
Analgesics, Non-Narcotic;0.863811575308
Anti-HIV Agents;0.787275307474
Adrenergic alpha-Agonists;0.818301848466
Muscarinic Antagonists;0.787757685694
Anticonvulsants;0.81652100258
HIV Protease Inhibitors;0.869803063457
Dermatologic Agents;0.893906239639
Cardiovascular Agents;0.925238629983
Adrenergic Uptake Inhibitors;0.957104720301
Trypanocidal Agents;0.949636522245
Dopamine Antagonists;0.892463944749
Anabolic Agents;0.965974171814
Protein Kinase Inhibitors;0.992976588629
Adrenergic alpha-Antagonists;0.967754305236
Photosensitizing Agents;0.856570804514
Cholinesterase Reactivators;0.999791373285
Anesthetics, Local;0.822794117647
Psychotropic Drugs;0.617266759499
Neuroprotective Agents;0.956355016384
Narcotics;0.947016011645
Antitussive Agents;0.77562697833
Iron Chelating Agents;0.845544422622
Uncoupling Agents;0.89730713246
Cholinesterase Inhibitors;0.894928858081
Narcotic Antagonists;0.890188079215
Anti-Arrhythmia Agents;0.936542669584
Hemostatics;0.862722181641
Nucleic Acid Synthesis Inhibitors;0.770911086718
Antimetabolites, Antineoplastic;0.945036429872
Convulsants;0.831910946197
Anticoagulants;0.940484861097
Anti-Ulcer Agents;0.636496350365
Adrenergic beta-2 Receptor Agonists;0.779992260062
Anthelmintics;0.732359391125
Nicotinic Antagonists;0.897842449933
Anesthetics;0.955473774949
Fibrinolytic Agents;0.940892531876
Mydriatics;0.977147016012
Excitatory Amino Acid Antagonists;0.916628607965
Topoisomerase I Inhibitors;0.830117302053
Hypnotics and Sedatives;0.784464224286
Antidepressive Agents, Second-Generation;0.936401266131
Cariostatic Agents;0.879403202329
Sympatholytics;0.664751307309
Hematinics;0.914506464838
Protein Synthesis Inhibitors;0.897319249808
Topoisomerase II Inhibitors;0.941620962828
Histamine H1 Antagonists, Non-Sedating;0.914986462813
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.973414404921
Antiemetics;0.75223132969
Anti-Infective Agents;0.932749604767
Hypolipidemic Agents;0.910567468707
Estrogen Antagonists;0.86034175575
Chelating Agents;0.919825072886
Cathartics;0.845459761122
Anti-Anxiety Agents;0.696433770015
Anti-Infective Agents, Urinary;0.874772479068
Calcium Channel Blockers;0.863594723342
Anti-Infective Agents, Local;0.834458838662
Voltage-Gated Sodium Channel Blockers;0.767111192526
Cholagogues and Choleretics;0.961235865584
Radiation-Protective Agents;0.870635500365
Purinergic P1 Receptor Antagonists;0.87647452268
Antimutagenic Agents;0.899228169529
