Cid	Smiles	Name	Formula	Term_List	TreeIds
9134	C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54	7H-dibenzo(c,g)carbazole	C20H13N	['Carcinogens']	['D27.888.569.100']
22814120	C(C(C(C(C(C=O)O)O)O)O)O.O	Glucose	C6H14O7	['Sweetening Agents']	['D27.720.364.609;D27.720.888;G07.203.300.512.400.700;J02.500.512.400.700']
5359657	C1=CC(=CC=C1NN=C2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]	Tartrazine	C16H9N4Na3O9S2	['Coloring Agents']	['D27.720.233']
544	[O-][As]([O-])[O-]	arsenite	AsO3-3	['Teratogens']	['D27.888.569.864']
5460701	C[As](=O)(O)[O-]	monomethylarsonic acid	CH4AsO3-	['Teratogens', 'Herbicides']	['D27.888.569.864', 'D27.720.031.700.366;D27.888.723.366']
4636	CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C	Oxymetazoline	C16H24N2O	['Nasal Decongestants']	['D27.505.954.411.793.610;D27.505.954.796.560']
9589	CC(=O)C1=CN=CC=C1	3-acetylpyridine	C7H7NO	['Neurotoxins']	['D27.888.569.504']
34367	C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)Cl	1-(9-fluorenyl)methyl chloroformate	C15H11ClO2	['Indicators and Reagents']	['D27.720.470.410']
4793	CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O	phosalone	C12H15ClNO4PS2	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
166817	NN.[N+](=O)(O)[O-]	hydrazine	H5N3O3	['Carcinogens']	['D27.888.569.100']
101686466	CC1=CC(=CC(=C1[O-])C(=O)[O-])C(=C2C=C(C(=O)C(=C2)C(=O)[O-])C)C3=C(C=CC(=C3Cl)S(=O)(=O)O)Cl.[Na+].[Na+].[Na+]	chrome azurol S	C23H13Cl2Na3O9S	['Indicators and Reagents']	['D27.720.470.410']
992	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	Pentachlorophenol	C6HCl5O	['Herbicides', 'Insecticides']	['D27.720.031.700.491;D27.888.723.491', 'D27.720.031.700.366;D27.888.723.366']
6327054	C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O	cyhexatin	C18H35OSn	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
76957443	C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O.C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O	chlorophacinone	C46H30Cl2O6	['Rodenticides', 'Mutagens']	['D27.720.031.700.853;D27.888.723.853', 'D27.888.569.468']
37786	C1=CC=C2C3=C4C(=CC2=C1)C5C(O5)C6=CC=CC(=C64)C=C3	benzo(a)pyrene 4,5-epoxide	C20H12O	['Carcinogens']	['D27.888.569.100']
125187	CC1=CC(=O)OC2=C1C=CC(=C2)NC(CCCN=C(N)N)C(=O)NC(=O)C(CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4	benzyloxycarbonyl-phenylalanylarginine-4-methylcoumaryl-7-amide	C33H36N6O6	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
115205	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)OC3C(OC(C3O)N4C=NC5=C4N=CN=C5N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O	3'-O-(4-benzoyl)benzoyladenosine 5'-triphosphate	C24H24N5O15P3	['Affinity Labels']	['D27.720.470.410.080']
76970703	CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C.CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C	vinclozolin	C24H18Cl4N2O6	['Fungicides, Industrial']	['D27.720.031.700.288;D27.888.723.288']
5284544	CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N	diminazene aceturate	C22H29N9O6	['Intercalating Agents']	['D27.720.470.410.360']
164912	C1=CC=C(C=C1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4	tetraphenylphosphonium	C24H20P+	['Indicators and Reagents']	['D27.720.470.410']
10595	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	Taurolithocholic Acid	C26H45NO5S	['Detergents']	['D27.720.877.265;J01.516.381']
22141508	CC1=CC=C(C=C1)S(=O)(=O)NCl.[Na+]	chloramine-T	C7H8ClNNaO2S+	['Oxidants', 'Indicators and Reagents']	['D27.720.642;D27.888.569.540', 'D27.720.470.410']
443560	CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5OC)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	avermectin	C49H74O14	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
5793	C(C1C(C(C(C(O1)O)O)O)O)O	Glucose	C6H12O6	['Sweetening Agents']	['D27.720.364.609;D27.720.888;G07.203.300.512.400.700;J02.500.512.400.700']
5143	C1=CC=C2C(=C1)C(=O)NS2(=O)=O	Saccharin	C7H5NO3S	['Sweetening Agents']	['D27.720.364.609;D27.720.888;G07.203.300.512.400.700;J02.500.512.400.700']
90657547	CC(C(=O)NC(C)C(=O)[O-])NC(=O)C(CCP(=O)(C)[O-])[NH3+]	bialaphos	C11H21N3O6P-	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
6443029	CCC1C(CCC2(O1)CC3CC(O2)CC=C(CC(C=CC=C(C4(CC(C(=CC4C(=O)O3)C)OC)O)CO)C)C)C	milbemycin	C33H50O7	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
2148	C1=CC(=CC=C1C(=O)NCC(=O)O)N	p-Aminohippuric Acid	C9H10N2O3	['Indicators and Reagents']	['D27.720.470.410']
4436	C1CN=C(N1)CC2=CC=CC3=CC=CC=C32	Naphazoline	C14H14N2	['Nasal Decongestants']	['D27.505.954.411.793.610;D27.505.954.796.560']
6093170	C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2]	Edetic Acid	C10H12CaN2Na2O8	['Food Additives']	['D27.720.368;G07.203.300.512;J02.500.512']
3496	C(C(=O)O)NCP(=O)(O)O	glyphosate	C3H8NO5P	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
8778	CCCCCCCCCCCCOS(=O)(=O)O	dodecyl sulfate	C12H26O4S	['Surface-Active Agents']	['D27.720.877']
6129	CNC(=O)OC1=CC=CC2=CC=CC=C21	Carbaryl	C12H11NO2	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
5280567	CC1=CC(=O)OC2=C1C=CC(=C2)O	Hymecromone	C10H8O3	['Indicators and Reagents']	['D27.720.470.410']
13583	CCCCCCCCCCCCN	dodecylamine	C12H27N	['Surface-Active Agents']	['D27.720.877']
150184	C1=CC=C2C(=C1)C3=C(N2)C=NC=C3.Cl	norharman	C11H9ClN2	['Neurotoxins', 'Mutagens']	['D27.888.569.504', 'D27.888.569.468']
94442	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NN	dansyl hydrazine	C12H15N3O2S	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
5706757	CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+](C)(C)C1=CC=C(C=C1)C=CC=CC=CC2=CC=CC=C2	1-(4-(trimethylamino)phenyl)-6-phenylhexa-1,3,5-triene	C28H31NO3S	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
4807	C1=CC=C(C(=C1)C=O)C=O	o-Phthalaldehyde	C8H6O2	['Indicators and Reagents']	['D27.720.470.410']
5859	CN(C)S(=O)(=O)C1=CC=C(C=C1)OP(=S)(OC)OC	famophos	C10H16NO5PS2	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
8507	CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+]	sulfan blue	C27H31N2NaO6S2	['Coloring Agents']	['D27.720.233']
23668193	N(=O)[O-].[Na+]	Sodium Nitrite	NNaO2	['Indicators and Reagents']	['D27.720.470.410']
56840972	[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[Ru+8]	hexammineruthenium	H12N6Ru+2	['Oxidants']	['D27.720.642;D27.888.569.540']
73554252	C1CC(C1)(C(=O)[O-])C(=O)[O-].[NH2-].[NH2-].[Pt+4]	Carboplatin	C6H10N2O4Pt	['Cross-Linking Reagents']	['D27.720.470.410.210']
76968178	CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)N=C=S)C(=O)O.CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=CC(=C4)N=C=S)C(=O)O.[Cl-].[Cl-]	rhodamine isothiocyanate	C58H60Cl2N6O6S2	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
176	CC(=O)O	Acetic Acid	C2H4O2	['Indicators and Reagents']	['D27.720.470.410']
5953	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	Quinidine	C20H24N2O2	['Cytochrome P-450 CYP2D6 Inhibitors']	['D27.505.389.500.368;D27.505.519.389.335.368']
132558	CN1C2=CC=CC=C2SC1=CC3=CC=[N+](C4=CC=CC=C34)CCC[N+](C)(C)CCC[N+](C)(C)CCC[N+]5=CC=C(C6=CC=CC=C65)C=C7N(C8=CC=CC=C8S7)C	1,1'-(4,4,7,7-tetramethyl-4,7-diazaundecamethylene)bis-4-(3-methyl-2,3-dihydro(benzo-1,3-thiazole)-2-methylidene)quinolinium	C49H58N6S2+4	['Intercalating Agents', 'Fluorescent Dyes']	['D27.720.470.410.360', 'D27.720.233.348;D27.720.470.410.505.500']
16218935	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NN=C3C(=CC4=C(C3=O)C(=O)C(=NNC5=C(N(N(C5=O)C6=CC=CC=C6)C)C)C(=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	antipyrylazo III	C32H26N8Na2O10S2	['Coloring Agents', 'Indicators and Reagents']	['D27.720.470.410', 'D27.720.233']
5997029	C1=C(C=C(C(=C1Br)OC(=O)C=CC(=O)OC2=C(C=C(C=C2C(=O)O)Br)Br)C(=O)O)Br	bis(3,5-dibromosalicyl)fumarate	C18H8Br4O8	['Cross-Linking Reagents']	['D27.720.470.410.210']
7013	C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32	N-phenyl-1-naphthylamine	C16H13N	['Carcinogens', 'Fluorescent Dyes']	['D27.888.569.100', 'D27.720.233.348;D27.720.470.410.505.500']
7533	C1CCC(CC1)NS(=O)(=O)O	Cyclamates	C6H13NO3S	['Sweetening Agents']	['D27.720.364.609;D27.720.888;G07.203.300.512.400.700;J02.500.512.400.700']
7526	C1CCN(CC1)N=O	N-nitrosopiperidine	C5H10N2O	['Mutagens', 'Carcinogens']	['D27.888.569.468', 'D27.888.569.100']
130606	CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)OC)C=CC=N3	N-(6-methoxy-8-quinolyl)-4-toluenesulfonamide	C17H16N2O3S	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
6838	C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O	N-nitrosodiphenylamine	C12H10N2O	['Carcinogens']	['D27.888.569.100']
8929	[C-]#N.[Na+]	Sodium Cyanide	CNNa	['Indicators and Reagents']	['D27.720.470.410']
52997	CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C	sulfometuron methyl	C15H16N4O5S	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
24502	[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+]	Potassium Dichromate	Cr2K2O7	['Coloring Agents']	['D27.720.233']
23669380	C1=CC=C2C(=C1)C=CC(=O)C2=NNC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+]	2-naphthol orange	C16H11N2NaO4S	['Coloring Agents']	['D27.720.233']
3037424	C1=CC(=C(C=C1N=[N+]=[N-])[N+](=O)[O-])NCCC(=O)OP(=O)(OCC2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)O)OP(=O)(O)OP(=O)(O)O	3'-O-(3-(N-(4-azido-2-nitrophenyl)amino)propionyl)adenosine-5'-triphosphate	C19H23N10O16P3	['Affinity Labels']	['D27.720.470.410.080']
2314	CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C	bendiocarb	C11H13NO4	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
443314	CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO	Polysorbates	C26H50O10	['Surface-Active Agents']	['D27.720.877']
92136173	CC1=CC=CC=C1NC(=[NH+]C2=CC=CC=C2C)N.CC1=CC=CC=C1NC(=[NH+]C2=CC=CC=C2C)N.C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=C(C(=CC=C8)S(=O)(=O)[O-])C(=N7)N=C2[N-]3)C9=C4C=CC=C9S(=O)(=O)[O-].[Cu]	Luxol Fast Blue MBS	C62H50CuN14O6S2-2	['Coloring Agents']	['D27.720.233']
71306906	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O	polydextrose	C12H22O11	['Food Additives']	['D27.720.368;G07.203.300.512;J02.500.512']
12328896	C1=CC=C(C=C1)C2=C3C=C(C=CC3=C4C=CC(=CC4=[N+]2CCCNCCNCCC[N+]5=C6C=C(C=CC6=C7C=CC(=CC7=C5C8=CC=CC=C8)N)N)N)N.[Cl-].[Cl-]	ethidium homodimer	C46H48Cl2N8	['Intercalating Agents']	['D27.720.470.410.360']
6518180	CC1C(CC2(C(C(C(O2)C(C)CC(C)C(C)C(C)C(C)C=C(C)C(=CC=CC(=CC#N)C)C)OP(=O)(O)O)(C)C)OC1CC=CC3=COC(=N3)C(C)CCNC(=O)C(C(C(COC)N(C)C)O)O)O	calyculin A	C52H85N4O12P	['Carcinogens']	['D27.888.569.100']
626783	C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)N5C(=O)C=CC5=O	N-(3-pyrene)maleimide	C20H11NO2	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
16212360	C(C(=O)[O-])F.[Na+]	fluoroacetic acid	C2H2FNaO2	['Rodenticides']	['D27.720.031.700.853;D27.888.723.853']
123813	C1CC(=O)N(C1=O)OC(=O)CCC2=CC(=C(C=C2)O)I	Bolton-Hunter reagent	C13H12INO5	['Indicators and Reagents']	['D27.720.470.410']
2724141	CCCC[N+](CCCC)(CCCC)CCCC.[F-]	tetrabutylammonium	C16H36FN	['Detergents']	['D27.720.877.265;J01.516.381']
3346	CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC	Fenthion	C10H15O3PS2	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
4790	CCOP(=S)(OCC)SCSCC	Phorate	C7H17O2PS3	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
19402	C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O	chlorophacinone	C23H15ClO3	['Rodenticides', 'Mutagens']	['D27.720.031.700.853;D27.888.723.853', 'D27.888.569.468']
62884	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl	Bupropion	C13H19Cl2NO	['Cytochrome P-450 CYP2D6 Inhibitors']	['D27.505.389.500.368;D27.505.519.389.335.368']
12565	CC1(C=CC2=CC(=C(C=C2O1)OC)OC)C	precocene II	C13H16O3	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
23665706	C1CCC(CC1)NS(=O)(=O)[O-].[Na+]	Cyclamates	C6H12NNaO3S	['Sweetening Agents']	['D27.720.364.609;D27.720.888;G07.203.300.512.400.700;J02.500.512.400.700']
23675735	C1=CC=C(C=C1)C2=CC=CC=C2[O-].[Na+]	2-phenylphenol	C12H9NaO	['Fungicides, Industrial', 'Carcinogens']	['D27.888.569.100', 'D27.720.031.700.288;D27.888.723.288']
54680676	C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br	bromfenacoum	C31H23BrO3	['Rodenticides']	['D27.720.031.700.853;D27.888.723.853']
1322	CNNC	1,2-Dimethylhydrazine	C2H8N2	['Mutagens', 'Carcinogens']	['D27.888.569.468', 'D27.888.569.100']
76344	CC(C)(C(=N)N)N=NC(C)(C)C(=N)N.Cl.Cl	2,2'-azobis(2-amidinopropane)	C8H20Cl2N6	['Oxidants', 'Mutagens']	['D27.888.569.468', 'D27.720.642;D27.888.569.540']
121994	C1=CC(=CC=C1NC2=CC3=C(C=C2)C=C(C=C3)S(=O)(=O)O)NC(=O)CI	IAANS	C18H15IN2O4S	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
11433187	CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(=O)[O-]	tetrabutylammonium	C32H72N2O4S	['Detergents']	['D27.720.877.265;J01.516.381']
24842	NN.OS(=O)(=O)O	hydrazine	H6N2O4S	['Carcinogens']	['D27.888.569.100']
37851	C[N+](C)(C)CCS	Thiocholine	C5H14NS+	['Indicators and Reagents']	['D27.720.470.410']
23665770	CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]	Sodium Tetradecyl Sulfate	C14H29NaO4S	['Surface-Active Agents']	['D27.720.877']
54603930	C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=C5C(=CC(=C4)S(=O)(=O)O)C=C(C=C5O)S(=O)(=O)O)C=CC=C3S(=O)(=O)O.[Na+]	Coomassie blue	C26H19N3NaO10S3+	['Indicators and Reagents']	['D27.720.470.410']
1480	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O	2,4,5-Trichlorophenoxyacetic Acid	C8H5Cl3O3	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
19186	C1=CC=C(C=C1)C2=CC=C(C=C2)CO	4-hydroxymethylbiphenyl	C13H12O	['Mutagens', 'Carcinogens']	['D27.888.569.468', 'D27.888.569.100']
971	C(=O)(C(=O)O)O	Oxalic Acid	C2H2O4	['Reducing Agents']	['D27.720.470.410.690']
2723710	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)([O-])[O-].O.O.O.O.O.O.[Na+].[Na+]	nitrophenylphosphate	C6H16NNa2O12P	['Chromogenic Compounds', 'Indicators and Reagents']	['D27.720.470.410', 'D27.720.233.174;D27.720.470.410.200']
31316	CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O	Thymolphthalein	C28H30O4	['Coloring Agents', 'Indicators and Reagents']	['D27.720.470.410', 'D27.720.233']
12961637	C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)[N+](=O)[O-])[O-])Br)Br)[O-])[N+](=O)[O-].[Na+].[Na+]	Eosine I Bluish	C20H6Br2N2Na2O9	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
441203	N.N.Cl[Pt+2]Cl	Cisplatin	Cl2H6N2Pt+2	['Cross-Linking Reagents']	['D27.720.470.410.210']
16204922	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+]	Warfarin	C19H15NaO4	['Rodenticides']	['D27.720.031.700.853;D27.888.723.853']
9570119	C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])NN=C3C(=O)C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]	ponceau 4R	C20H11N2Na3O10S3	['Coloring Agents']	['D27.720.233']
8268	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl	Dicofol	C14H9Cl5O	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
10742	COC1=CC(=CC(=C1O)OC)C(=O)O	syringic acid	C9H10O5	['Indicators and Reagents']	['D27.720.470.410']
21932302	CCCCCCCCCCCCCC[N+](C)(C)C.[I-]	tetradecyltrimethylammonium	C17H38IN	['Surface-Active Agents', 'Detergents']	['D27.720.877.265;J01.516.381', 'D27.720.877']
16682746	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC	bis(tri-n-butyltin)oxide	C24H54OSn2	['Fungicides, Industrial']	['D27.720.031.700.288;D27.888.723.288']
54611841	C(=O)(C(=O)O)O.[Mg+2]	Oxalic Acid	C2H2MgO4+2	['Reducing Agents']	['D27.720.470.410.690']
18772463	CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C.CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C	metolachlor	C30H44Cl2N2O4	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
9800501	CC(=O)O.C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4	Paroxetine	C21H24FNO5	['Cytochrome P-450 CYP2D6 Inhibitors']	['D27.505.389.500.368;D27.505.519.389.335.368']
105103	CC1=CC(=C(C=C1)N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C)OCC2=NC3=C(C=C(C=C3C=C2)OC)N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C	Quin2-acetoxymethyl ester	C38H43N3O18	['Fluorescent Dyes']	['D27.720.233.348;D27.720.470.410.505.500']
51062757	C1CC[N+](=C(C2=CC(=CC=C2)Cl)SCC(=O)O)CC1.[Br-]	Streptavidin	C14H17BrClNO2S	['Indicators and Reagents']	['D27.720.470.410']
9581	CC(C(C1=CC=CC=C1)O)NC.Cl	Pseudoephedrine	C10H16ClNO	['Nasal Decongestants']	['D27.505.954.411.793.610;D27.505.954.796.560']
24775	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO	Nonidet P-40	C18H30O3	['Detergents']	['D27.720.877.265;J01.516.381']
8577	C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+]	picric acid	C6H6N4O7	['Indicators and Reagents']	['D27.720.470.410']
45358444	C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.[Br-].[Br-]	Diquat	C24H24Br2N4+2	['Herbicides']	['D27.720.031.700.366;D27.888.723.366']
2534	CC1C(CC2(C(C(C(O2)C(CC(C(C)C(C(C)C=C(C)C(=CC=CC(=CC#N)C)C)O)O)OC)OP(=O)(O)O)(C)C)OC1CC=CC3=COC(=N3)C(C)CCNC(=O)C(C(C(COC)N(C)C)O)O)O	calyculin A	C50H81N4O15P	['Carcinogens']	['D27.888.569.100']
8456	CC(C)(C)C1=C(C=CC(=C1)OC)O	Butylated Hydroxyanisole	C11H16O2	['Carcinogens']	['D27.888.569.100']
10509	C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]	Tetranitromethane	CN4O8	['Oxidants', 'Indicators and Reagents']	['D27.720.642;D27.888.569.540', 'D27.720.470.410']
24722	CCOP(=O)(OCC)SCCSCC.CCOP(=S)(OCC)OCCSCC	Disulfoton	C16H38O6P2S4	['Insecticides']	['D27.720.031.700.491;D27.888.723.491']
73417324	C1CNP(=O)(OC1)N(CCCl)CCCl.C1CNP(=O)(OC1)N(CCCl)CCCl.O.O	Cyclophosphamide	C14H34Cl4N4O6P2	['Mutagens']	['D27.888.569.468']
4705	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC	4-((3-bromophenyl)amino)-6,7-dimethoxyquinazoline	C16H14BrN3O2	['Intercalating Agents']	['D27.720.470.410.360']
