CID	SMILES	Terms
86289513.0	CCC1(CC(C2=C(C1C(=O)OC)C=C3C(=C2[O-])C(=O)C4=C(C3=O)C=CC=C4O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)O)[NH+](C)C)O	['Adjuvants, Immunologic', 'Antibiotics, Antineoplastic']
73417238.0	C1=CC(=CC=C1OCC(CO)O)Cl.C1=CC(=CC=C1OCC(CO)O)Cl	['Muscle Relaxants, Central']
21150909.0	CCC(=C(CC)C1=CC=C(C=C1)OP(=O)(O)O)C2=CC=C(C=C2)OP(=O)(O)O.[Na+]	['Antineoplastic Agents, Hormonal']
4432340.0	C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-]	['Uncoupling Agents']
3075615.0	C1CC(CCC1CCN2CCN(CC2)C3=CC=CC=C3)NC4=NC=CC=N4	['Dopamine Agonists', 'Serotonin Receptor Agonists']
23663969.0	CC1=CC(=O)C(=CN1)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]	['Anti-Bacterial Agents']
76956304.0	CC(CC1=CC=CC=C1)NCCCCl.CC(CC1=CC=CC=C1)NCCCCl	['Sympathomimetics']
54765.0	CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O.Cl	['Bronchodilator Agents']
24756844.0	CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C	['Urological Agents', 'Vasodilator Agents']
151114.0	CCC1(C2=C(COC1=O)C(=O)N3CC4=C5C(CCC6=C5C(=CC(=C6C)F)N=C4C3=C2)N)O.CS(=O)(=O)O.O.O	['Topoisomerase I Inhibitors']
23663537.0	CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(C(=O)[O-])N.[Na+]	['Bronchodilator Agents', 'Phosphodiesterase Inhibitors', 'Purinergic P1 Receptor Antagonists', 'Vasodilator Agents']
46187832.0	C1C(C(C([S+]1CC(C(C(C(CO)O)O)O)O)CO)O)O	['Glycoside Hydrolase Inhibitors']
1773.0	C1C(CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	['Antimetabolites, Antineoplastic', 'Folic Acid Antagonists']
76964039.0	C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3	['Calcium Channel Blockers', 'Cardiovascular Agents', 'Vasodilator Agents']
23681186.0	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)[O-])C.[Na+]	['Anti-Bacterial Agents']
91498.0	CC(C)CCCC(C)C1CCC2C1(CCC3C2CC(C4(C3(CCC(C4)O)C)O)O)C	['Hypolipidemic Agents']
163602.0	CCCCCC[Si](CCCCCC)(CCCCCC)[O-].CCCCCC[Si](CCCCCC)(CCCCCC)[O-].C1=CC=C2C=C3C(=CC2=C1)C4=NC5=C6C=C7C=CC=CC7=CC6=C([N-]5)N=C8C9=CC1=CC=CC=C1C=C9C(=N8)N=C1C2=CC5=CC=CC=C5C=C2C(=N1)N=C3[N-]4.[Si+4]	['Photosensitizing Agents']
151939.0	C(C1C(C(C(C(=O)N1)O)O)O)O	['Glycoside Hydrolase Inhibitors']
4652.0	C1=CC(=CC=C1CC(C(=O)O)N)Cl	['Enzyme Inhibitors', 'Serotonin Antagonists']
76030824.0	[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Cl-].[Cl-].[Ti+4]	['Antineoplastic Agents']
11290.0	CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4.C(C(C(=O)O)O)(C(=O)O)O	['Histamine H1 Antagonists']
6917787.0	CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4.Cl	['Adrenergic alpha-Antagonists', 'Antipsychotic Agents']
10184653.0	CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4	['Radiation-Sensitizing Agents']
155774.0	C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O	['Adrenergic beta-1 Receptor Agonists']
76958344.0	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C	['Anti-Bacterial Agents']
23675317.0	CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+]	['Anti-Bacterial Agents']
6436198.0	CCC(C)CCC=CC=C(C)C(CC=CC=CC(=O)OC1C(C(OC2(C1O)C3=C(C=C(C=C3CO2)O)O)CO)OC4C(C(C(C(O4)COC(=O)C=CC=CC=CC(CC)O)O)O)O)O	['Antifungal Agents']
31357.0	CCCCOP(=O)(OCCCC)OCCCC	['Radiation-Protective Agents']
4211.0	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl	['Antineoplastic Agents, Hormonal']
1570.0	C1=CC(=S)N(C=C1)O	['Antifungal Agents']
5486684.0	CN(C)CCONC(=CC=C1C=CC(=O)C=C1)C2=CC=CC=C2F	['Fibrinolytic Agents', 'Platelet Aggregation Inhibitors', 'Serotonin Antagonists']
57004.0	C(CC(C(F)F)(C(=O)O)N)CN.Cl	['Antineoplastic Agents', 'Ornithine Decarboxylase Inhibitors', 'Trypanocidal Agents']
122222.0	C1=CC=C(C=C1)CC(C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC2=CC=C(C=C2)O)N	['Analgesics', 'Anti-Arrhythmia Agents']
3366.0	C1=NC(=O)NC(=C1F)N	['Antifungal Agents', 'Antimetabolites']
124369.0	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)C	['Topoisomerase I Inhibitors']
62978.0	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O	['Adrenergic alpha-1 Receptor Antagonists', 'Antihypertensive Agents']
73416733.0	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC.CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	['Antihypertensive Agents', 'Calcium Channel Blockers', 'Vasodilator Agents']
76956716.0	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C.CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	['Antihypertensive Agents', 'Calcium Channel Blockers', 'Vasodilator Agents']
4100.0	CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C	['Diuretics']
23694214.0	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)[O-])O)C)O.[Na+]	['Anti-Inflammatory Agents']
3762.0	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C	['Adrenergic beta-2 Receptor Agonists', 'Bronchodilator Agents']
7098622.0	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCC[NH+]=C(N)N)C=O)NC(=O)C	['Cysteine Proteinase Inhibitors']
128563.0	CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C4=COC=C4)C)C(=O)OC	['Hallucinogens']
476777.0	CCOC1=C2C=C(C(=CC2=C3C(=C1)C4=CC(=C(C=C4C=[N+]3C)OC)OC)OC)OC	['Topoisomerase I Inhibitors']
57469.0	CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N	['Adjuvants, Immunologic', 'Antineoplastic Agents']
54682536.0	C(C(C1C(=C(C(=O)O1)[O-])O)O)O.C(C(C1C(=C(C(=O)O1)[O-])O)O)O.O.O.[Ca+2]	['Antioxidants', 'Vitamins']
76962013.0	C1=C(C=C(C=C1O)O)C(C(=O)O)N.C1=C(C=C(C=C1O)O)C(C(=O)O)N	['Excitatory Amino Acid Antagonists']
169370.0	C1=CC(=CC=C1C(=O)NC(CCC(=O)[O-])C(=O)[O-])NCC2=CN=C3C(=N2)C(=NC(=N3)N)N.[Na+].[Na+]	['Folic Acid Antagonists']
5311018.0	COC(=O)C=CC(=O)NC1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O	['Alkylating Agents', 'Narcotic Antagonists']
11597697.0	CC(CC1=CC=CC=C1)NC(=O)C(CCCCN)N.CS(=O)(=O)O.CS(=O)(=O)O	['Central Nervous System Stimulants', 'Dopamine Uptake Inhibitors']
129893562.0	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]	['Hematinics', 'Vitamin B Complex']
54897.0	CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl	['Anti-Anxiety Agents']
26951.0	CC(C)C1=NC=C(N1C)[N+](=O)[O-]	['Antiprotozoal Agents']
446157.0	CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C	['Anticholesteremic Agents', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors']
118984457.0	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(OC3CC(OC3COP(=S)([O-])OC4CC(OC4COP(=S)([O-])OC5CC(OC5COP(=S)([O-])OC6CC(OC6COP(=S)([O-])OC7CC(OC7COP(=S)([O-])OC8CC(OC8COP(=S)([O-])OC9CC(OC9COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1CO)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=CN=C2N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=CN=C2N)[S-])O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]	['Antineoplastic Agents']
68705.0	CCN(CC)CC(C)OC(=O)C1CCCCC1(C2CCCCC2)O	['Parasympatholytics']
76959441.0	COC1=C(C(=CC(=C1)S(=O)(=O)N)C(=O)NCC2CCCN2CC=C)OC.COC1=C(C(=CC(=C1)S(=O)(=O)N)C(=O)NCC2CCCN2CC=C)OC	['Antipsychotic Agents']
2801.0	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl	['Antidepressive Agents, Tricyclic', 'Serotonin Uptake Inhibitors']
60847.0	CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)OC.CS(=O)(=O)O	['Reverse Transcriptase Inhibitors']
31378.0	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F	['Anti-Inflammatory Agents']
6305.0	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	['Antidepressive Agents, Second-Generation']
10230.0	C1=CC=C2C(=C1)C(=NN=C2NN)NN	['Antihypertensive Agents']
4605800.0	C1CC2=C3C(=CC=C2)N(S(=O)(=O)N3C1)CCN4CCC(=CC4)C5=CNC6=C5C=CC(=C6)F	['Serotonin Antagonists']
114832.0	C(=NN)(N)N.OS(=O)(=O)O	['Enzyme Inhibitors']
53625.0	C1=CC=C(C=C1)CCC2=CC=C(C=C2)C(CN3C=CN=C3)O.Cl	['Anticonvulsants']
3025.0	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	['Anesthetics, Local']
24195177.0	C1=CC(=CC=C1C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)S(=O)(=O)O)C8=CC=C(C=C8)S(=O)(=O)O)C9=CC=C(C=C9)S(=O)(=O)O)N3)S(=O)(=O)O.N	['Contrast Media', 'Radiation-Sensitizing Agents', 'Trypanocidal Agents']
5310988.0	C1CC1CN2CCC34C5C(=O)C(=CC6=CC=CC=C6)CC3(C2CC7=C4C(=C(C=C7)O)O5)O	['Narcotic Antagonists']
9911821.0	CCCNC(C)C(=O)NC1=CC=CC=C1C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	['Anesthetics, Local']
71301.0	C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O	['Adrenergic beta-1 Receptor Agonists', 'Antihypertensive Agents', 'Vasodilator Agents']
37392.0	CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl	['Antimalarials']
65652.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCCCN3C(=O)C4=CC=CC=C4NC3=O	['Serotonin Antagonists']
9909202.0	CC12CCC3C(C1CCC2OC4(CCCC4)OC)CCC5C3(CC6C(C5)S6)C	['Anabolic Agents', 'Antineoplastic Agents', 'Estrogen Antagonists']
10800.0	CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]	['Uncoupling Agents']
57533.0	CCCN1CCOC2C1CCC3=C2C=C(C=C3)O	['Dopamine Agonists']
159813.0	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)C	['Topoisomerase I Inhibitors']
57354184.0	CC(=O)NCCCC(C(=O)O)NC(=O)C.CN(C)CCO	['Antidepressive Agents']
13129.0	C(C(F)(F)F)F	['Anesthetics']
5722.0	CCCOC1=CC=CC=C1C2=NC(=O)C3=NNNC3=N2	['Phosphodiesterase Inhibitors']
24873435.0	CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC	['Antiviral Agents', 'Protease Inhibitors']
18177375.0	CC1=CC=C(C=C1)S(=O)(=O)O.CC1=C(C(=CC=C1)C)NC(=O)NCCCNC(C)C	['Anti-Arrhythmia Agents']
76962601.0	CC1=CC(=CC=C1)N2CC(OC2=O)CO.CC1=CC(=CC=C1)N2CC(OC2=O)CO	['Antidepressive Agents', 'Monoamine Oxidase Inhibitors']
33254.0	CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3.Cl.Cl	['Antidepressive Agents']
101935277.0	CCC#CC(C)C1(C(=NC(=O)N(C1=O)C)[O-])CC=C.[Na+]	['Anesthetics, Intravenous']
152639.0	CCC1(CC(C2=C(C1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)O)N(C)C)O	['Adjuvants, Immunologic', 'Antibiotics, Antineoplastic']
5357.0	CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)CC)OC	['Antipsychotic Agents', 'Dopamine Antagonists']
24871.0	Cl[Cr]Cl	['Antioxidants']
864.0	C1CSSC1CCCCC(=O)O	['Antioxidants', 'Vitamin B Complex']
72340.0	CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45	['Vasodilator Agents']
52987646.0	CC(=NCCCCCCN=C(N)NC(=NCCCCCCNC(=NC)N)N)N.Cl	['Disinfectants']
62065.0	CC(CC1=CC(=C(C=C1OC)Br)OC)N	['Hallucinogens', 'Serotonin Receptor Agonists']
656631.0	CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4.Br	['Serotonin Receptor Agonists']
57054.0	CC1=CC(=C(C=C1)N(CC(=O)O)CC(=O)O)OCCOC2=C(C=C3C(=C2)C=C(O3)C4=NC=C(O4)C(=O)O)N(CC(=O)O)CC(=O)O	['Calcium Chelating Agents']
4472.0	C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2	['Antidepressive Agents', 'Monoamine Oxidase Inhibitors']
2733.0	C1=CC2=C(C=C1Cl)NC(=O)O2	['Muscle Relaxants, Central']
644210.0	C1C(N(CC2=CC=CC=C21)C(=O)C(CC3=CC=C(C=C3)O)N)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CC5=CC=CC=C5)C(=O)O	['Analgesics, Opioid', 'Narcotic Antagonists']
4538.0	C1=CC(=CC(=C1)O)C(CN)O	['Adrenergic alpha-Agonists']
16214796.0	C1=CN(C(=CC1=C[NH+]=O)C=NO)COC[N+]2=CC=C(C=C2)C(=O)N	['Cholinesterase Reactivators']
169885.0	CCC(CC1=C(C=C(C(=C1)OC)C)OC)N.Cl	['Hallucinogens']
115162.0	CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C.Cl	['Anti-Bacterial Agents', 'Anti-Infective Agents, Urinary']
5191.0	CCN(CC)CCOC(=O)C1=CC(=C(C=C1OC)N)Cl	['Serotonin Antagonists']
4046.0	C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O	['Antimalarials']
194999.0	CN1CCN(CC1)C2=C(C=C3C4=C2OCC5(N4C=C(C3=O)C(=O)O)CC5)F	['Topoisomerase II Inhibitors']
199956.0	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=CC=CC=C42.Cl.Cl	['Antipsychotic Agents', 'Dopamine Antagonists']
5918.0	C1=CN=CC(=C1N)N	['Potassium Channel Blockers']
3082617.0	CC1=CN=C(C=C1)CS(=O)C2=NC3=CSC=C3N2	['Proton Pump Inhibitors']
71476.0	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O.O.Cl	['Anti-Bacterial Agents', 'Protein Synthesis Inhibitors']
76968803.0	CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN.CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN	['Anticonvulsants', 'Neuroprotective Agents']
23616203.0	C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75.[N+](=O)(O)[O-]	['Convulsants']
12200.0	C(C(CO[N+](=O)[O-])O)O[N+](=O)[O-]	['Vasodilator Agents']
60867.0	CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N	['Anti-Arrhythmia Agents', 'Cardiotonic Agents', 'Phosphodiesterase Inhibitors', 'Vasodilator Agents']
76957985.0	C(CCC(C(=O)O)N)CCP(=O)(O)O.C(CCC(C(=O)O)N)CCP(=O)(O)O	['Anticonvulsants', 'Excitatory Amino Acid Antagonists']
73417420.0	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	['Anti-Arrhythmia Agents', 'Voltage-Gated Sodium Channel Blockers']
71264.0	CCOC(=O)NC1=CC2=C(CCC3=CC=CC=C3N2C(=O)CN(C)C)C=C1	['Anti-Arrhythmia Agents', 'Psychotropic Drugs']
72495.0	CC(C)C(CCC(C)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)NCCCNCCCCN)C)O)C)OS(=O)(=O)O	['Angiogenesis Inhibitors', 'Anti-Bacterial Agents', 'Anticarcinogenic Agents']
25078429.0	CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C.CC(=O)O	['Hormone Antagonists']
636970.0	C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3	['Anti-Infective Agents']
4487.0	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3	['Anti-Inflammatory Agents, Non-Steroidal']
76970736.0	CN1C(=O)COC2=C1C=C(C=C2C(=O)NC3CN4CCC3CC4)Cl.CN1C(=O)COC2=C1C=C(C=C2C(=O)NC3CN4CCC3CC4)Cl	['Antiemetics', 'Serotonin Antagonists']
23663539.0	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[O-].[Na+]	['Enzyme Inhibitors', 'Uncoupling Agents']
174770.0	[NH4+].[O-2].[Na+].[Sb+3].[W]	['Antineoplastic Agents', 'Antiviral Agents']
