CID	SMILES	Name	Formula	Terms	TreeIds
237	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC	Quinacrine	C23H30ClN3O	['Enzyme Inhibitors', 'Antineoplastic Agents', 'Antinematodal Agents', 'Antimalarials', 'Anticestodal Agents']	['D27.505.519.389', 'D27.505.954.248', 'D27.505.954.122.250.075.080', 'D27.505.954.122.250.100.085', 'D27.505.954.122.250.075.100.040']
243	C1=CC=C(C=C1)C(=O)O	Benzoic Acid	C7H6O2	['Food Preservatives', 'Antifungal Agents']	['D27.720.368.385', 'G07.203.300.512.700', 'J02.500.512.700', 'D27.505.954.122.136']
244	C1=CC=C(C=C1)CO	Benzyl Alcohol	C7H8O	['Anesthetics, Local']	['D27.505.696.277.100.200', 'D27.505.696.663.850.025', 'D27.505.954.427.210.100.200']
247	C[N+](C)(C)CC(=O)[O-]	Betaine	C5H11NO2	['Lipotropic Agents', 'Gastrointestinal Agents']	['D27.505.519.186.071.601', 'D27.505.954.483.680', 'D27.505.954.557.500.601', 'D27.505.954.483']
248	C[N+](C)(C)CC(=O)O	Betaine	C5H12NO2+	['Lipotropic Agents', 'Gastrointestinal Agents']	['D27.505.519.186.071.601', 'D27.505.954.483.680', 'D27.505.954.557.500.601', 'D27.505.954.483']
255	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]	bis(4-nitrophenyl)phosphate	C12H9N2O8P	['Enzyme Inhibitors']	['D27.505.519.389']
258	CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N	blasticidin S	C17H26N8O5	['Trypanocidal Agents', 'Enzyme Inhibitors', 'Antifungal Agents', 'Anti-Bacterial Agents']	['D27.505.954.122.250.100.875', 'D27.505.519.389', 'D27.505.954.122.136', 'D27.505.954.122.085']
264	CCCC(=O)O	Butyric Acid	C4H8O2	['Histamine Antagonists']	['D27.505.519.625.375.425', 'D27.505.696.577.375.425']
281	[C-]#[O+]	Carbon Monoxide	CO	['Gasotransmitters', 'Antimetabolites']	['D01.362.282', 'D27.505.519.625.270', 'D27.505.519.186', 'D27.888.569.042']
285	C(C(=O)[O-])ON	Aminooxyacetic Acid	C2H4NO3-	['GABA Agents', 'Enzyme Inhibitors']	['D27.505.519.625.240', 'D27.505.696.577.240', 'D27.505.519.389']
286	C(C(=O)O)ON	Aminooxyacetic Acid	C2H5NO3	['GABA Agents', 'Enzyme Inhibitors']	['D27.505.519.625.240', 'D27.505.696.577.240', 'D27.505.519.389']
299	C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Chlordecone	C10Cl10O	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
305	C[N+](C)(C)CCO	Choline	C5H14NO+	['Nootropic Agents', 'Lipotropic Agents']	['D27.505.954.427.637', 'D27.505.519.186.071.601', 'D27.505.954.483.680', 'D27.505.954.557.500.601']
311	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	Citric Acid	C6H8O7	['Calcium Chelating Agents', 'Anticoagulants']	['D27.505.519.914.500.204', 'D27.720.832.500.204', 'D27.505.954.502.119']
320	C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O	Coformycin	C11H16N4O5	['Immunosuppressive Agents', 'Enzyme Inhibitors', 'Antibiotics, Antineoplastic']	['D27.505.696.477.656', 'D27.505.519.389', 'D27.505.954.248.106']
338	C1=CC=C(C(=C1)C(=O)O)O	Salicylic Acid	C7H6O3	['Keratolytic Agents', 'Antifungal Agents', 'Anti-Infective Agents']	['D27.505.954.444.400', 'D27.505.954.122.136', 'D27.505.954.122']
341	C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O	digallic acid	C14H10O9	['Nucleic Acid Synthesis Inhibitors']	['D27.505.519.389.675']
359	C1=C(C=C(C=C1O)O)O	Phloroglucinol	C6H6O3	['Indicators and Reagents']	['D27.720.470.410']
378	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O	nitrophenylphosphate	C6H6NO6P	['Indicators and Reagents', 'Chromogenic Compounds']	['D27.720.470.410', 'D27.720.233.174', 'D27.720.470.410.200']
402	S	Hydrogen Sulfide	H2S	['Gasotransmitters', 'Air Pollutants']	['D01.362.282', 'D27.505.519.625.270', 'D27.888.284.101']
403	C1=CC(=CC=C1N)O	4-aminophenol	C6H7NO	['Mutagens']	['D27.888.569.468']
412	C1CC(NC1)C2=CN=CC=C2	nornicotine	C9H12N2	['Insecticides']	['D27.720.031.700.491', 'D27.888.723.491']
421	C(CCC(=O)O)CC(CCS)S	dihydrolipoic acid	C8H16O2S2	['Antioxidants']	['D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
444	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	Bupropion	C13H18ClNO	['Cytochrome P-450 CYP2D6 Inhibitors', 'Dopamine Uptake Inhibitors', 'Antidepressive Agents, Second-Generation']	['D27.505.389.500.368', 'D27.505.519.389.335.368', 'D27.505.519.562.437.220', 'D27.505.519.625.150.800', 'D27.505.519.625.600.220', 'D27.505.696.577.150.800', 'D27.505.696.577.600.220', 'D27.505.954.427.700.122.050']
458	C[S+](C)CCC(C(=O)O)N	Vitamin U	C6H14NO2S+	['Vitamins', 'Gastrointestinal Agents', 'Anti-Ulcer Agents']	['D27.505.696.377.605.600', 'G07.203.300.631.600', 'J02.500.631.600', 'D27.505.954.483', 'D27.505.954.483.203']
461	CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	Palmitoylcarnitine	C23H45NO4	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
462	CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	Palmitoylcarnitine	C23H46NO4+	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
469	C(CC(C(=O)O)N)CC(=O)O	2-Aminoadipic Acid	C6H11NO4	['Excitatory Amino Acid Antagonists']	['D27.505.519.625.190.300', 'D27.505.696.577.190.300']
471	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	taxifolin	C15H12O7	['Anti-Inflammatory Agents, Non-Steroidal']	['D27.505.696.663.850.014.040.500', 'D27.505.954.158.030', 'D27.505.954.329.030']
485	C[N+](C)(C)CCOS(=O)(=O)[O-]	Choline	C5H13NO4S	['Nootropic Agents', 'Lipotropic Agents']	['D27.505.954.427.637', 'D27.505.519.186.071.601', 'D27.505.954.483.680', 'D27.505.954.557.500.601']
510	OP1(=O)OP(=O)(OP(=O)(O1)O)O	trimetaphosphoric acid	H3O9P3	['Cariostatic Agents']	['D25.223', 'D27.505.696.706.222', 'D27.720.102.223', 'D27.720.799.113', 'J01.637.051.223']
511	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O	Thiamine Triphosphate	C12H20N4O10P3S+	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
535	C1CC1(C(=O)O)N	1-aminocyclopropane-1-carboxylic acid	C4H7NO2	['Neuroprotective Agents']	['D27.505.696.706.548', 'D27.505.954.427.575']
544	[O-][As]([O-])[O-]	arsenite	AsO3-3	['Teratogens']	['D27.888.569.864']
546	C(C(=O)O)P(=O)(O)O	Phosphonoacetic Acid	C2H5O5P	['Reverse Transcriptase Inhibitors', 'Enzyme Inhibitors', 'Antiviral Agents']	['D27.505.519.389.675.850', 'D27.505.954.122.388.077.750', 'D27.505.519.389', 'D27.505.954.122.388']
564	C(CCC(=O)O)CCN	Aminocaproic Acid	C6H13NO2	['Antifibrinolytic Agents']	['D27.505.519.421.500', 'D27.505.954.502.270.463.091']
572	C(CN(C=O)O)CP(=O)(O)O	fosmidomycin	C4H10NO5P	['Anti-Bacterial Agents']	['D27.505.954.122.085']
596	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	Cytarabine	C9H13N3O5	['Immunosuppressive Agents', 'Antiviral Agents', 'Antimetabolites, Antineoplastic']	['D27.505.696.477.656', 'D27.505.954.122.388', 'D27.505.519.186.144', 'D27.505.954.248.144', 'D27.888.569.042.030']
598	C(CS(=O)(=O)O)S	Mesna	C2H6O3S2	['Protective Agents']	['D27.505.696.706', 'D27.720.799']
636	C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O	2'-deoxyadenosine	C10H13N5O3	['Mutagens']	['D27.888.569.468']
643	CC1C(NC(=O)N1)CCCCCC(=O)O	desthiobiotin	C10H18N2O3	['Mitogens', 'Immunosuppressive Agents']	['D27.505.519.593.624', 'D27.505.696.477.656']
679	CS(=O)C	Dimethyl Sulfoxide	C2H6OS	['Free Radical Scavengers', 'Solvents', 'Cryoprotective Agents']	['D27.505.519.217.500', 'D27.720.844', 'D27.505.696.706.320', 'D27.720.799.180']
681	C1=CC(=C(C=C1CCN)O)O	Dopamine	C8H11NO2	['Dopamine Agents', 'Sympathomimetics', 'Cardiotonic Agents']	['D27.505.519.625.150', 'D27.505.696.577.150', 'D27.505.696.663.050.870', 'D27.505.954.411.222', 'D27.720.799.080']
702	CCO	Ethanol	C2H6O	['Solvents', 'Central Nervous System Depressants', 'Anti-Infective Agents, Local']	['D27.720.844', 'D27.505.696.277', 'D27.505.954.427.210', 'D27.505.954.122.187']
712	C=O	Formaldehyde	CH2O	['Fixatives', 'Disinfectants']	['D27.720.355', 'D27.505.954.122.425', 'D27.720.274']
718	C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O	fructose-1,6-diphosphate	C6H14O12P2	['Neuroprotective Agents', 'Immunologic Factors', 'Cardiovascular Agents', 'Anti-Arrhythmia Agents']	['D27.505.696.706.548', 'D27.505.954.427.575', 'D27.505.696.477', 'D27.505.954.411', 'D27.505.954.411.097']
750	C(C(=O)O)N	Glycine	C2H5NO2	['Glycine Agents']	['D27.505.519.625.300', 'D27.505.696.577.300']
753	C(C(CO)O)O	Glycerol	C3H8O3	['Solvents', 'Cryoprotective Agents']	['D27.720.844', 'D27.505.696.706.320', 'D27.720.799.180']
757	C(C(=O)O)O	glycolic acid	C2H4O3	['Keratolytic Agents']	['D27.505.954.444.400']
763	C(C(=O)O)N=C(N)N	glycocyamine	C3H7N3O2	['Affinity Labels']	['D27.720.470.410.080']
765	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N	9-arabinofuranosylguanine	C10H13N5O5	['Antineoplastic Agents']	['D27.505.954.248']
768	C#N	Hydrogen Cyanide	CHN	['Chemical Warfare Agents']	['D27.720.777.300', 'D27.888.569.612.150', 'J01.637.870.900.200']
769	C(=O)(O)[O-]	Bicarbonates	CHO3-	['Buffers']	['D27.720.470.280']
774	C1=C(NC=N1)CCN	Histamine	C5H9N3	['Histamine Agonists']	['D27.505.519.625.375.400', 'D27.505.696.577.375.400']
784	OO	Hydrogen Peroxide	H2O2	['Oxidants', 'Anti-Infective Agents, Local']	['D27.720.642', 'D27.888.569.540', 'D27.505.954.122.187']
785	C1=CC(=CC=C1O)O	hydroquinone	C6H6O2	['Radiation-Protective Agents', 'Mutagens', 'Antioxidants']	['D27.505.696.706.776', 'D27.720.799.763', 'D27.888.569.468', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
795	C1=CN=CN1	imidazole	C3H4N2	['Enzyme Inhibitors']	['D27.505.519.389']
799	C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)(O)O)O)O	indoleglycerol phosphate	C11H14NO6P	['Indicators and Reagents']	['D27.720.470.410']
801	C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-]	Indoleacetic Acids	C10H8NO2-	['Plant Growth Regulators']	['D27.505.696.377.760']
802	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	indoleacetic acid	C10H9NO2	['Plant Growth Regulators']	['D27.505.696.377.760']
803	C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O	indol-3-yl pyruvic acid	C11H9NO3	['Free Radical Scavengers', 'Anti-Anxiety Agents', 'Anticonvulsants']	['D27.505.519.217.500', 'D27.505.696.277.950.015', 'D27.505.954.427.210.950.015', 'D27.505.954.427.700.872.015', 'D27.505.954.427.080']
807	II	Iodine	I2	['Trace Elements', 'Anti-Infective Agents, Local']	['D27.505.696.377.605.555', 'G07.203.300.631.555', 'J02.500.631.555', 'D27.505.954.122.187']
816	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N	bekanamycin	C18H37N5O10	['Anti-Bacterial Agents']	['D27.505.954.122.085']
836	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	Dihydroxyphenylalanine	C9H11NO4	['Dopamine Agents']	['D27.505.519.625.150', 'D27.505.696.577.150']
838	CNCC(C1=CC(=C(C=C1)O)O)O	Racepinephrine	C9H13NO3	['Vasoconstrictor Agents', 'Sympathomimetics', 'Mydriatics', 'Bronchodilator Agents', 'Adrenergic beta-Agonists', 'Adrenergic alpha-Agonists']	['D27.505.954.411.793', 'D27.505.696.663.050.870', 'D27.505.696.663.050.500', 'D27.505.696.663.050.110', 'D27.505.954.796.050.100', 'D27.505.519.625.050.100.200', 'D27.505.696.577.050.100.200', 'D27.505.519.625.050.100.100', 'D27.505.696.577.050.100.100']
864	C1CSSC1CCCCC(=O)O	Thioctic Acid	C8H14O2S2	['Vitamin B Complex', 'Antioxidants']	['D27.505.696.377.605.600.708', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
887	CO	Methanol	CH4O	['Solvents']	['D27.720.844']
896	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	Melatonin	C13H16N2O2	['Central Nervous System Depressants', 'Antioxidants']	['D27.505.696.277', 'D27.505.954.427.210', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
899	CC(=O)NC1C(C(C(OC1O)CO)O)O	Croton Oil	C8H15NO6	['Dermatologic Agents']	['D27.505.954.444']
932	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	naringenin	C15H12O5	['Estrogen Antagonists', 'Anti-Ulcer Agents']	['D06.347.295', 'D27.505.696.399.450.327', 'D27.505.954.483.203']
935	[Ni]	Nickel	Ni	['Trace Elements']	['D27.505.696.377.605.555', 'G07.203.300.631.555', 'J02.500.631.555']
936	C1=CC(=CN=C1)C(=O)N	Niacinamide	C6H6N2O	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
937	C1=CC(=CN=C1)C(=O)[O-]	Niacin	C6H4NO2-	['Vitamin B Complex', 'Vasodilator Agents', 'Hypolipidemic Agents']	['D27.505.696.377.605.600.708', 'D27.505.954.411.918', 'D27.505.519.186.071', 'D27.505.954.557.500']
938	C1=CC(=CN=C1)C(=O)O	Niacin	C6H5NO2	['Vitamin B Complex', 'Vasodilator Agents', 'Hypolipidemic Agents']	['D27.505.696.377.605.600.708', 'D27.505.954.411.918', 'D27.505.519.186.071', 'D27.505.954.557.500']
944	[N+](=O)(O)[O-]	Nitric Acid	HNO3	['Explosive Agents']	['D27.720.317']
945	N=O	nitroxyl	HNO	['Neuroprotective Agents', 'Antioxidants']	['D27.505.696.706.548', 'D27.505.954.427.575', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
948	N#[N+][O-]	Nitrous Oxide	N2O	['Analgesics, Non-Narcotic', 'Anesthetics, Inhalation']	['D27.505.696.663.850.014.040', 'D27.505.954.427.040.100', 'D27.505.696.277.100.035.060', 'D27.505.954.427.210.100.035.060']
951	C1=CC(=C(C=C1C(CN)O)O)O	Norepinephrine	C8H11NO3	['Vasoconstrictor Agents', 'Sympathomimetics', 'Adrenergic alpha-Agonists']	['D27.505.954.411.793', 'D27.505.696.663.050.870', 'D27.505.519.625.050.100.100', 'D27.505.696.577.050.100.100']
957	CCCCCCCCO	1-Octanol	C8H18O	['Solvents']	['D27.720.844']
971	C(=O)(C(=O)O)O	Oxalic Acid	C2H2O4	['Reducing Agents']	['D27.720.470.410.690']
985	CCCCCCCCCCCCCCCC(=O)O	Palmitic Acid	C16H32O2	['Enzyme Inhibitors']	['D27.505.519.389']
991	CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]	Parathion	C10H14NO5PS	['Insecticides', 'Cholinesterase Inhibitors']	['D27.720.031.700.491', 'D27.888.723.491', 'D27.505.519.389.275', 'D27.505.519.625.120.300', 'D27.505.696.577.120.300']
992	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	Pentachlorophenol	C6HCl5O	['Uncoupling Agents', 'Poisons', 'Pesticides', 'Insecticides', 'Herbicides', 'Enzyme Inhibitors', 'Environmental Pollutants']	['D27.505.519.389.936', 'D27.720.777', 'D27.888.569.612', 'D27.720.031.700', 'D27.888.723', 'D27.720.031.700.491', 'D27.888.723.491', 'D27.720.031.700.366', 'D27.888.723.366', 'D27.505.519.389', 'D27.888.284']
996	C1=CC=C(C=C1)O	Phenol	C6H6O	['Sclerosing Solutions', 'Disinfectants', 'Anti-Infective Agents, Local']	['D26.776.708.822', 'D27.505.954.411.700', 'D27.505.954.578.822', 'D27.720.752.822', 'D27.505.954.122.425', 'D27.720.274', 'D27.505.954.122.187']
999	C1=CC=C(C=C1)CC(=O)O	phenylacetic acid	C8H8O2	['Antimetabolites, Antineoplastic']	['D27.505.519.186.144', 'D27.505.954.248.144', 'D27.888.569.042.030']
1001	C1=CC=C(C=C1)CCN	phenethylamine	C8H11N	['Psychotropic Drugs']	['D27.505.954.427.700']
1004	OP(=O)(O)O	phosphoric acid	H3O4P	['Dental Materials']	['D25.339', 'D27.720.102.339', 'J01.637.051.339']
1018	C1=CC=NC(=C1)C(=O)O	picolinic acid	C6H5NO2	['Iron Chelating Agents']	['D27.505.519.914.500.410', 'D27.720.832.500.410']
1030	CC(CO)O	Propylene Glycol	C3H8O2	['Pharmaceutical Vehicles', 'Solvents']	['D26.650.700', 'D27.720.744.770', 'E02.319.300.754', 'D27.720.844']
1046	C1=CN=C(C=N1)C(=O)N	Pyrazinamide	C5H5N3O	['Antitubercular Agents']	['D27.505.954.122.085.255']
1048	C1=CNN=C1	pyrazole	C3H4N2	['Enzyme Inhibitors']	['D27.505.519.389']
1050	CC1=NC=C(C(=C1O)C=O)CO	Pyridoxal	C8H9NO3	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1051	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O	Pyridoxal Phosphate	C8H10NO6P	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1052	CC1=NC=C(C(=C1O)CN)CO	Pyridoxamine	C8H12N2O2	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1054	CC1=NC=C(C(=C1O)CO)CO	Pyridoxine	C8H11NO3	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1057	C1=CC(=C(C(=C1)O)O)O	Pyrogallol	C6H6O3	['Antioxidants']	['D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
1065	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	Quinine	C20H24N2O2	['Analgesics, Non-Narcotic', 'Muscle Relaxants, Central', 'Antimalarials']	['D27.505.696.663.850.014.040', 'D27.505.954.427.040.100', 'D27.505.696.510', 'D27.505.696.663.700.600', 'D27.505.954.427.525', 'D27.505.954.122.250.100.085']
1080	C(C(C(=O)O)N)SCC(=O)O	Carbocysteine	C5H9NO4S	['Expectorants', 'Anti-Infective Agents, Local']	['D27.505.954.796.250', 'D27.505.954.122.187']
1089	O[Se](=O)(=O)O	Selenic Acid	H2O4Se	['Trace Elements', 'Antioxidants']	['D27.505.696.377.605.555', 'G07.203.300.631.555', 'J02.500.631.555', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
1090	[O-][Se](=O)[O-]	Selenious Acid	O3Se-2	['Trace Elements']	['D27.505.696.377.605.555', 'G07.203.300.631.555', 'J02.500.631.555']
1091	O[Se](=O)O	Selenious Acid	H2O3Se	['Trace Elements']	['D27.505.696.377.605.555', 'G07.203.300.631.555', 'J02.500.631.555']
1119	O=S=O	Sulfur Dioxide	O2S	['Air Pollutants']	['D27.888.284.101']
1130	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO	Thiamine	C12H17N4OS+	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1131	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O	Thiamine Monophosphate	C12H18N4O4PS+	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1132	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O	Thiamine Pyrophosphate	C12H19N4O7P2S+	['Vitamin B Complex']	['D27.505.696.377.605.600.708']
1140	CC1=CC=CC=C1	Toluene	C7H8	['Solvents']	['D27.720.844']
1144	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O	trehalose-6-phosphate	C12H23O14P	['Enzyme Inhibitors']	['D27.505.519.389']
1145	C[N+](C)(C)[O-]	trimethyloxamine	C3H9NO	['Oxidants']	['D27.720.642', 'D27.888.569.540']
1175	C12=C(NC(=O)N1)NC(=O)NC2=O	Uric Acid	C5H4N4O3	['Antioxidants']	['D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047']
1183	COC1=C(C=CC(=C1)C=O)O	vanillin	C8H8O3	['Antimutagenic Agents', 'Antioxidants', 'Anticonvulsants']	['D27.505.696.706.080', 'D27.720.799.042', 'D27.505.519.217', 'D27.505.696.706.125', 'D27.720.799.047', 'D27.505.954.427.080']
1202	CCCCCC(C=CC1CC2CC(C2)C1CC=CCCCC(=O)O)O	thromboxane A2, carbocyclic	C22H36O3	['Vasoconstrictor Agents', 'Platelet Aggregation Inhibitors']	['D27.505.954.411.793', 'D27.505.954.502.780']
1204	C1CC2C(CC1N2)C3=CN=C(C=C3)Cl	epibatidine	C11H13ClN2	['Nicotinic Agonists', 'Analgesics, Non-Narcotic']	['D27.505.519.625.120.140.700', 'D27.505.696.577.120.140.700', 'D27.505.696.663.850.014.040', 'D27.505.954.427.040.100']
1206	CC(CC1=CC=CC=C1)NC	Methamphetamine	C10H15N	['Dopamine Uptake Inhibitors', 'Adrenergic Uptake Inhibitors', 'Adrenergic Agents', 'Dopamine Agents', 'Sympathomimetics', 'Central Nervous System Stimulants']	['D27.505.519.562.437.220', 'D27.505.519.625.150.800', 'D27.505.519.625.600.220', 'D27.505.696.577.150.800', 'D27.505.696.577.600.220', 'D27.505.519.562.437.050', 'D27.505.519.625.050.601', 'D27.505.519.625.600.050', 'D27.505.696.577.050.601', 'D27.505.696.577.600.050', 'D27.505.519.625.050', 'D27.505.696.577.050', 'D27.505.519.625.150', 'D27.505.696.577.150', 'D27.505.696.663.050.870', 'D27.505.696.282', 'D27.505.954.427.220']
1207	CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24	Dizocilpine Maleate	C16H15N	['Neuroprotective Agents', 'Excitatory Amino Acid Antagonists']	['D27.505.696.706.548', 'D27.505.954.427.575', 'D27.505.519.625.190.300', 'D27.505.696.577.190.300']
1218	C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3	SK and F 81297	C16H16ClNO2	['Dopamine Agonists']	['D27.505.519.625.150.151', 'D27.505.696.577.150.151']
1219	CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O	7-hydroxy-2-N,N-dipropylaminotetralin	C16H25NO	['Dopamine Agonists']	['D27.505.519.625.150.151', 'D27.505.696.577.150.151']
1220	CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O	8-Hydroxy-2-(di-n-propylamino)tetralin	C16H25NO	['Serotonin Receptor Agonists']	['D27.505.519.625.850.800', 'D27.505.696.577.850.800']
1221	CC1=C(C(=O)NO1)CC(C(=O)O)N	alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	C7H10N2O4	['Excitatory Amino Acid Agonists']	['D27.505.519.625.190.200', 'D27.505.696.577.190.200']
1222	CC(C1=CC=C(C=C1)C(=O)O)(C(=O)O)N	alpha-methyl-4-carboxyphenylglycine	C10H11NO4	['Excitatory Amino Acid Antagonists']	['D27.505.519.625.190.300', 'D27.505.696.577.190.300']
