Term	AUCmean
GABA Modulators	0.990
Gastrointestinal Agents	0.854
Glucocorticoids	0.985
Glycoside Hydrolase Inhibitors	0.926
HIV Protease Inhibitors	0.980
Hallucinogens	0.976
Hematinics	0.993
Hemostatics	0.902
Histamine Agonists	0.998
Histamine Antagonists	0.957
Histamine H1 Antagonists	0.969
Histamine H1 Antagonists, Non-Sedating	0.931
Histamine H2 Antagonists	0.997
Histone Deacetylase Inhibitors	0.977
Hormone Antagonists	0.964
Hormones	0.921
Hydroxymethylglutaryl-CoA Reductase Inhibitors	0.972
Hypnotics and Sedatives	0.950
Hypoglycemic Agents	0.943
Hypolipidemic Agents	0.904
Immunosuppressive Agents	0.816
Iron Chelating Agents	0.939
Lipoxygenase Inhibitors	0.836
Matrix Metalloproteinase Inhibitors	0.913
Monoamine Oxidase Inhibitors	0.931
Muscarinic Agonists	0.914
Muscarinic Antagonists	0.977
Muscle Relaxants, Central	0.964
Mydriatics	0.966
Narcotic Antagonists	0.971
Narcotics	0.986
Neurokinin-1 Receptor Antagonists	0.946
Neuromuscular Nondepolarizing Agents	1.000
Neuroprotective Agents	0.789
Neurotransmitter Agents	0.996
Nicotinic Antagonists	0.902
Nitric Oxide Donors	0.983
Nootropic Agents	0.960
Nucleic Acid Synthesis Inhibitors	0.868
Ornithine Decarboxylase Inhibitors	0.998
Oxytocics	0.990
Parasympatholytics	0.958
Parasympathomimetics	0.996
Phosphodiesterase Inhibitors	0.902
Photosensitizing Agents	0.946
Plant Growth Regulators	0.902
Platelet Aggregation Inhibitors	0.861
Poly(ADP-ribose) Polymerase Inhibitors	0.959
Potassium Channel Blockers	0.807
Protease Inhibitors	0.909
Protein Kinase Inhibitors	0.896
Protein Synthesis Inhibitors	0.919
Proton Pump Inhibitors	0.955
Psychotropic Drugs	0.881
Purinergic P1 Receptor Antagonists	0.930
Radiation-Protective Agents	0.901
Radiation-Sensitizing Agents	0.857
Radiopharmaceuticals	0.958
Reverse Transcriptase Inhibitors	0.933
Schistosomicides	0.969
Serine Proteinase Inhibitors	0.886
Serotonin Antagonists	0.952
Serotonin Receptor Agonists	0.988
Serotonin Uptake Inhibitors	0.995
Sympatholytics	0.968
Sympathomimetics	0.985
Tocolytic Agents	0.936
Topoisomerase I Inhibitors	0.806
Topoisomerase II Inhibitors	0.918
Trace Elements	0.998
Trypanocidal Agents	0.927
Tubulin Modulators	0.910
Uncoupling Agents	0.925
Uricosuric Agents	0.865
Urological Agents	0.954
Vasoconstrictor Agents	0.954
Vasodilator Agents	0.875
Vitamin B Complex	0.999
Vitamins	0.965
Voltage-Gated Sodium Channel Blockers	0.931
beta-Lactamase Inhibitors	0.946
