Term	AUCmean
Neuroprotective Agents	0.777
Neurotransmitter Agents	0.904
Nicotinic Antagonists	0.971
Nitric Oxide Donors	0.950
Nootropic Agents	0.871
Nucleic Acid Synthesis Inhibitors	0.835
Ornithine Decarboxylase Inhibitors	0.982
Oxytocics	0.968
Parasympatholytics	0.920
Parasympathomimetics	0.946
Phosphodiesterase Inhibitors	0.841
Photosensitizing Agents	0.908
Plant Growth Regulators	0.895
Platelet Aggregation Inhibitors	0.745
Poly(ADP-ribose) Polymerase Inhibitors	0.808
Potassium Channel Blockers	0.757
Protease Inhibitors	0.842
Protein Kinase Inhibitors	0.850
Protein Synthesis Inhibitors	0.907
Proton Pump Inhibitors	0.933
Psychotropic Drugs	0.891
Purinergic P1 Receptor Antagonists	0.942
Radiation-Protective Agents	0.838
Radiation-Sensitizing Agents	0.809
Radiopharmaceuticals	0.944
Reverse Transcriptase Inhibitors	0.943
Schistosomicides	0.855
Serine Proteinase Inhibitors	0.831
Serotonin Antagonists	0.863
Serotonin Receptor Agonists	0.924
Serotonin Uptake Inhibitors	0.970
Sympatholytics	0.946
Sympathomimetics	0.962
Tocolytic Agents	0.930
Topoisomerase I Inhibitors	0.874
Topoisomerase II Inhibitors	0.897
Trace Elements	0.980
Trypanocidal Agents	0.899
Tubulin Modulators	0.921
Uncoupling Agents	0.856
Uricosuric Agents	0.903
Urological Agents	0.942
Vasoconstrictor Agents	0.899
Vasodilator Agents	0.791
Vitamin B Complex	0.977
Vitamins	0.980
Voltage-Gated Sodium Channel Blockers	0.869
beta-Lactamase Inhibitors	0.888
