Cid	Smiles	Name	Formula	Term_List	TreeId
121952	CCN(CC)C1=CC=C(C=C1)C=CC=CC2=CC=[N+](C=C2)CCC[N+](CC)(CC)CC	RH 414	C28H43N3+2	['Fluorescent Dyes']	[' ']
9883104	CCCCC1=CC2=CC=CC=C2C(=N1)OCCN(C)C.Cl	dimethisoquin	C17H25ClN2O	['Anesthetics, Local']	[' ']
5484366	C=CCN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.Cl	Nalorphine	C19H22ClNO3	['Narcotic Antagonists']	[' ']
20055510	CCC(CC)(C=CC=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O	seocalcitol	C30H46O3	['Immunosuppressive Agents', 'Antineoplastic Agents']	[' ']
6436134	CC1C2CC(CC1=O)C(OO2)(C)C=CC3=C(C=C(C=C3)C(F)(F)F)C(F)(F)F	arteflene	C19H18F6O3	['Antimalarials']	[' ']
76969093	CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(=O)C)O.CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(=O)C)O	befunolol	C32H42N2O8	['Adrenergic beta-Antagonists', 'Adrenergic beta-Agonists']	[' ']
1318	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1	1,10-phenanthroline	C12H8N2	['Protease Inhibitors', 'Iron Chelating Agents', 'Intercalating Agents', 'Cross-Linking Reagents', 'Cholinesterase Inhibitors', 'Chelating Agents']	[' ']
1234	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC	Gallopamil	C28H40N2O5	['Calcium Channel Blockers']	[' ']
5601	C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F	Thenoyltrifluoroacetone	C8H5F3O2S	['Chelating Agents']	[' ']
33672	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC=CC=C4)C(=O)O)C	Carfecillin	C23H22N2O6S	['Anti-Bacterial Agents', 'Anti-Infective Agents, Urinary']	[' ']
62935	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl	Trazodone	C19H23Cl2N5O	['Antidepressive Agents, Second-Generation', 'Serotonin Uptake Inhibitors', 'Anti-Anxiety Agents']	[' ']
133633	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43	3-(4-(4-chlorophenyl-4-hydroxypiperidino)methyl)indole	C20H21ClN2O	['Dopamine Antagonists']	[' ']
159261	OS(=O)(=O)SSS(=O)(=O)O.[Na+].[Na+]	Tetrathionic Acid	H2Na2O6S4+2	['Indicators and Reagents']	[' ']
11289	COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC	Chlorotrianisene	C23H21ClO3	['Antineoplastic Agents, Hormonal']	[' ']
16051918	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC.Cl.[Cl-]	Curare	C37H42Cl2N2O6	['Nicotinic Antagonists', 'Neuromuscular Nondepolarizing Agents']	[' ']
4083	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)[O-])C	methampicillin	C17H18N3O4S-	['Anti-Bacterial Agents']	[' ']
43590	CC(C)NCC(COC1=CC=C(C=C1)O)O.Cl	Prenalterol	C12H20ClNO3	['Adrenergic beta-1 Receptor Agonists', 'Sympathomimetics', 'Cardiotonic Agents']	[' ']
441336	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C	Mometasone Furoate	C27H30Cl2O6	['Anti-Allergic Agents', 'Dermatologic Agents', 'Anti-Inflammatory Agents']	[' ']
3336	CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3	Fendiline	C23H25N	['Calcium Channel Blockers']	[' ']
62807	CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC(=C(C=C3)N)C)C=CC1=N.Cl	carbol-fuchsin solution	C21H22ClN3	['Coloring Agents']	[' ']
54600704	CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C.Cl	BXI-72	C27H29ClN6O	['Fluorescent Dyes']	[' ']
23669629	O[Se](=O)[O-].[Na+]	Sodium Selenite	HNaO3Se	['Trace Elements']	[' ']
76966814	CS(=O)(=O)O.CS(=O)(=O)O.C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3.C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3	binospirone mesylate	C42H60N4O14S2	['Serotonin Receptor Agonists', 'Anti-Anxiety Agents', 'Serotonin Antagonists']	[' ']
2893	CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O	Cyclandelate	C17H24O3	['Vasodilator Agents']	[' ']
3341	C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O	Fenoldopam	C16H16ClNO3	['Dopamine Agonists', 'Vasodilator Agents', 'Antihypertensive Agents']	[' ']
134654	[F-].[F-].[F-].[F-].[Sn+4]	Tin Fluorides	F4Sn	['Cariostatic Agents']	[' ']
107966	COC1=CC=CC=C1N2CCN(CC2)CCCCN3C(=O)C4=CC=CC=C4C3=O.Br	1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine	C23H28BrN3O3	['Serotonin Antagonists']	[' ']
5359264	CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]	Trypan Blue	C34H24N6Na4O14S4	['Coloring Agents']	[' ']
126222	CC(CCCN(C)C)C1CC(=O)C2=C3CCC4CC(CCC4(C3CCC12C)C)O	3-hydroxy-24-dimethylaminochol-8(14)-en-15-one	C26H43NO2	['Hydroxymethylglutaryl-CoA Reductase Inhibitors']	[' ']
20975696	C[As](=O)(O)O.[Na+]	monomethylarsonic acid	CH5AsNaO3+	['Teratogens', 'Herbicides']	[' ']
6439641	CC(=O)C=C1C2N(C1=O)C(C(S2)(C)C)C(=O)O	6-acetylmethylenepenicillanic acid	C11H13NO4S	['beta-Lactamase Inhibitors']	[' ']
25137869	[H+].[H+].[H+].[H+].CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(=CC(=O)[O-])C(=O)[O-].C(=CC(=O)[O-])C(=O)[O-]	Prochlorperazine	C28H32ClN3O8S	['Dopamine Antagonists', 'Antipsychotic Agents', 'Antiemetics']	[' ']
9940864	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O.C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl	Olmesartan Medoxomil	C36H38ClN9O10S2	['Angiotensin II Type 1 Receptor Blockers', 'Antihypertensive Agents']	[' ']
39859	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O	Albuterol	C26H44N2O10S	['Adrenergic beta-2 Receptor Agonists', 'Tocolytic Agents', 'Bronchodilator Agents']	[' ']
446156	CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC	cerivastatin	C26H34FNO5	['Hydroxymethylglutaryl-CoA Reductase Inhibitors']	[' ']
441129	CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O.O.O.O	meropenem	C17H31N3O8S	['Anti-Bacterial Agents']	[' ']
23688663	C1=CC=C(C(=C1)C(=O)N)[O-].[Na+]	salicylamide	C7H6NNaO2	['Anti-Inflammatory Agents, Non-Steroidal']	[' ']
121596002	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4.CC(C(C(=O)O)N)O.C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)N)O)O)N)O)O)N.C(C(C(=O)O)N)S.C(C(=O)O)N.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.[Zn+2]	bacitracin, cysteine, glycine, neomycin, threonine drug combination	C97H174N26O48S5Zn+2	['Anti-Bacterial Agents']	[' ']
25077495	CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8	deslorelin	C64H83N17O12	['Enzyme Inhibitors']	[' ']
108037	CC(=O)C1=NC=C(N1)C(C(C(CO)O)O)O	2-acetyl-4(5)-tetrahydroxybutylimidazole	C9H14N2O5	['Immunosuppressive Agents']	[' ']
3779	CC(C)NCC(C1=CC(=C(C=C1)O)O)O	Isoproterenol	C11H17NO3	['Sympathomimetics', 'Cardiotonic Agents', 'Bronchodilator Agents', 'Adrenergic beta-Agonists']	[' ']
26533	CCNC1(CCCCC1=O)C2=CC=CS2	Tiletamine	C12H17NOS	['Anticonvulsants']	[' ']
23662235	CC1=CC=C(C=C1)C2=C(N=CN=C2OCCOC3=NC=C(C=N3)Br)[N-]S(=O)(=O)C4=CC=C(C=C4)C(C)(C)CO.[Na+]	T 0201	C27H27BrN5NaO5S	['Endothelin Receptor Antagonists']	[' ']
6918247	C[N+]1(CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6)CCNP(=S)(NCC[N+]7(CC8=C(C=CC9=C8OCO9)C1C7C2=CC3=C(C=C2CC1O)OCO3)C)NCC[N+]1(CC2=C(C=CC3=C2OCO3)C2C1C1=CC3=C(C=C1CC2O)OCO3)C.[OH-].[OH-].[OH-].Cl.Cl.Cl.Cl.Cl.Cl	ukrain	C66H81Cl6N6O18PS	['Antineoplastic Agents', 'Adjuvants, Immunologic']	[' ']
76966810	CCCC(C1=CC=C(C=C1)CCCl)C2=C(C3=CC=CC=C3OC2=O)O.CCCC(C1=CC=C(C=C1)CCCl)C2=C(C3=CC=CC=C3OC2=O)O	clocoumarol	C42H42Cl2O6	['Anticoagulants']	[' ']
149025	CN1C=C(C=C1C(=O)NCCC(=O)N)NC(=O)C2=CC(=CN2C)N=C(CN=C(N)N)N.Cl	Netropsin	C18H27ClN10O3	['Antiviral Agents', 'Anti-Bacterial Agents']	[' ']
170353	CCN(CC)CCOC(=O)C(C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl	aprofen	C21H28ClNO2	['Parasympatholytics']	[' ']
5748846	CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=C(N4CCO)N)C(=O)O	cefoselis	C19H23N8O6S2+	['Anti-Bacterial Agents']	[' ']
23725080	CC12CCC3C(C1CCC2OP(=O)([O-])[O-])CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl.O.[Na+].[Na+]	Estramustine	C23H32Cl2NNa2O7P	['Antineoplastic Agents, Hormonal', 'Antineoplastic Agents, Alkylating']	[' ']
11292	C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl	pararosaniline	C19H18ClN3	['Coloring Agents']	[' ']
7098622	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCC[NH+]=C(N)N)C=O)NC(=O)C	leupeptin	C20H39N6O4+	['Cysteine Proteinase Inhibitors']	[' ']
68740552	[H+].[H+].C1CC(CCC1CNCC2=CC=CC=C2Cl)CNCC3=CC=CC=C3Cl.[Cl-].[Cl-]	trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride	C22H30Cl4N2	['Enzyme Inhibitors', 'Anticholesteremic Agents']	[' ']
2714	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C	Ovosiston	C23H29ClO4	['Adrenergic alpha-2 Receptor Agonists', 'Sympatholytics', 'Antihypertensive Agents', 'Analgesics']	[' ']
2309	CC(C)NCC(COC1=CC=CC2=C1OC(=C2)C(=O)C)O	befunolol	C16H21NO4	['Adrenergic beta-Antagonists', 'Adrenergic beta-Agonists']	[' ']
9805809	CC(C1=CC=CC=C1)NC(=O)C(C)(CC2=CNC3=CC=CC=C32)NC(=O)OCC4=CC5=CC=CC=C5O4	PD 154075	C30H29N3O4	['Neurokinin-1 Receptor Antagonists']	[' ']
60790	COC1=C(C=C(C=C1)CNCC(COC2=CC3=C(C=C2)NC(=O)C=C3)O)OC	toborinone	C21H24N2O5	['Vasodilator Agents', 'Phosphodiesterase Inhibitors', 'Cardiotonic Agents']	[' ']
71300428	CC1CCC2(CC3CC(O2)CC=C(CC(C=CC=C(C4=CC(=C(C=C4C(=O)O3)C)O)C)C)C)OC1C	milbemycin	C31H42O5	['Insecticides', 'Antinematodal Agents', 'Anthelmintics']	[' ']
2293	CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)C1=CC=CC=C1OCCOC2=CC=CC=C2N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C	1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	C34H40N2O18	['Chelating Agents']	[' ']
1355	C1CN(CCN1)C2=CC(=CC=C2)Cl	1-(3-chlorophenyl)piperazine	C10H13ClN2	['Serotonin Receptor Agonists']	[' ']
666418	CCCC1=NC=CC(=C1)C(=S)N	Prothionamide	C9H12N2S	['Antitubercular Agents']	[' ']
46908927	CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5.Cl	ponatinib	C29H28ClF3N6O	['Protein Kinase Inhibitors', 'Antineoplastic Agents']	[' ']
4507	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	Nitrendipine	C18H20N2O6	['Vasodilator Agents', 'Calcium Channel Blockers', 'Antihypertensive Agents']	[' ']
5824	CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.COS(=O)(=O)[O-]	Neostigmine	C13H22N2O6S	['Parasympathomimetics', 'Cholinesterase Inhibitors']	[' ']
64655	[O-]P(=O)([O-])[O-].[Al+3]	aluminum phosphate	AlO4P	['Antacids', 'Adjuvants, Immunologic']	[' ']
5184	CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4	Scopolamine Hydrobromide	C17H21NO4	['Muscarinic Antagonists', 'Cholinergic Antagonists', 'Mydriatics', 'Adjuvants, Anesthesia']	[' ']
17182	CC(CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42	dixyrazine	C24H33N3O2S	['Analgesics, Non-Narcotic', 'Antipsychotic Agents', 'Antiemetics']	[' ']
10915	CC(=O)O.CC(=O)O.O=[U]=O	uranyl acetate	C4H8O6U	['Coloring Agents']	[' ']
3084072	CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3C(CC4=C(C3=O)C(=C5C(=C4)C=C(C=C5O)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)O)O	Olivomycins	C45H64O21	['Protein Synthesis Inhibitors', 'Fluorescent Dyes', 'Antibiotics, Antineoplastic']	[' ']
4066	C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53	mequitazine	C20H22N2S	['Histamine H1 Antagonists']	[' ']
123706	CCC(C1=C(C=C(C=C1)N(C)C)C)N	amiflamine	C12H20N2	['Monoamine Oxidase Inhibitors']	[' ']
219099	C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.Cl	ziprasidone	C21H22Cl2N4OS	['Dopamine Antagonists', 'Antipsychotic Agents', 'Serotonin Antagonists']	[' ']
23665591	C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-].[K+]	Clavulanic Acid	C8H8KNO5	['beta-Lactamase Inhibitors']	[' ']
5927	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O	Atropine	C34H48N2O10S	['Muscarinic Antagonists', 'Parasympatholytics', 'Mydriatics', 'Bronchodilator Agents', 'Anti-Arrhythmia Agents', 'Adjuvants, Anesthesia']	[' ']
68771	CCC12CCCN3C1C4=C(CC3)C5=C(N4C(C2)(C(=O)OC)O)C=C(C=C5)Br	11-bromovincamine	C21H25BrN2O3	['Vasodilator Agents']	[' ']
5283204	CCCCCC=CCC1C(O1)CC=CCC=CCCCC(=O)O	11,12-epoxy-5,8,14-eicosatrienoic acid	C20H32O3	['Vasodilator Agents']	[' ']
11151	C1=CC(=C(C=C1CON)O)Br	Brocresine	C7H8BrNO2	['Enzyme Inhibitors']	[' ']
60921	CCC1=NC(=C(N1CC2=CC3=C(C=C2)OC(=C3Br)C4=CC=CC=C4NS(=O)(=O)C(F)(F)F)C(=O)N)C5CC5	saprisartan potassium	C25H22BrF3N4O4S	['Angiotensin II Type 1 Receptor Blockers', 'Antihypertensive Agents']	[' ']
4123009	CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)C)C=C3O2)C4=C(C=CC(=C4)N=C=S)C(=O)[O-]	tetramethylrhodamine isothiocyanate	C25H21N3O3S	['Fluorescent Dyes', 'Coloring Agents']	[' ']
53372306	CC(=O)OCC[N+](C)(C)C.[F-]	Acetylcholine	C7H16FNO2	['Vasodilator Agents']	[' ']
66587032	CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O.[Na]	Oxacillin	C19H19N3NaO5S	['Anti-Bacterial Agents']	[' ']
24883446	[H+].CC1=C(N=CN1)CSCCNC(=NC)NC#N.[Cl-]	Cimetidine	C10H17ClN6S	['Cytochrome P-450 CYP1A2 Inhibitors', 'Histamine H2 Antagonists', 'Anti-Ulcer Agents']	[' ']
6914273	C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]	Dantrolene	C14H10N4O5	['Muscle Relaxants, Central']	[' ']
102090456	CC1(C(N2C(S1)C(C2=O)N=C(CC3=CC=CC=C3)[O-])C(=O)O)C.[K+]	Penicillin G	C16H17KN2O4S	['Anti-Bacterial Agents']	[' ']
5280360	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	Dinoprostone	C20H32O5	['Oxytocics']	[' ']
9847991	COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.C1=CC=C(C=C1)S(=O)(=O)O	clopidogrel	C22H22ClNO5S2	['Platelet Aggregation Inhibitors']	[' ']
130699	C1=CC(=C(C(=C1)Cl)S(=O)(=O)O)C2=CC(=NC3=C2C=CC4=C3N=C(C=C4C5=C(C(=CC=C5)Cl)S(=O)(=O)O)C(=O)O)C(=O)O	4,7-bis(chlorosulfophenyl)-1,10-phenanthroline-2,9-dicarboxylic acid	C26H14Cl2N2O10S2	['Fluorescent Dyes']	[' ']
3800	CC1CC(OC(=O)CC(NC(=O)C(N(C(=O)C(NC(=O)C(CC(=C1)C)C)C)C)CC2=C(NC3=CC=CC=C32)Br)C4=CC=C(C=C4)O)C	jasplakinolide	C36H45BrN4O6	['Insecticides', 'Antineoplastic Agents', 'Antifungal Agents']	[' ']
5253	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O	Sotalol	C12H20N2O3S	['Sympatholytics', 'Anti-Arrhythmia Agents', 'Adrenergic beta-Antagonists']	[' ']
68555	CC(C)C(=O)OC1=C(C=C(C=C1)CCNC)OC(=O)C(C)C	ibopamine	C17H25NO4	['Dopamine Agonists', 'Vasodilator Agents', 'Mydriatics', 'Diuretics', 'Cardiotonic Agents']	[' ']
638278	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O	isoliquiritigenin	C15H12O4	['Enzyme Inhibitors']	[' ']
28360774	C[NH+](C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=O)C(=C(N)[O-])C1=O)O)[O-])O)Cl)O	Demeclocycline	C21H20ClN2O8-	['Anti-Bacterial Agents']	[' ']
23680517	CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)[O-])O)CCC4=CC(=O)C=CC34C)O.[Na+]	prednisolone hemisuccinate	C25H31NaO8	['Glucocorticoids']	[' ']
422786	C(C(C(=O)O)[S-])C(=O)O.[Au+]	Gold Sodium Thiomalate	C4H5AuO4S	['Antirheumatic Agents']	[' ']
9826472	CNC(=O)C1=[N+](C=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)[O-]	sorafenib	C21H16ClF3N4O4	['Protein Kinase Inhibitors', 'Antineoplastic Agents']	[' ']
23679441	CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+]	Ceftriaxone	C18H17N8NaO7S3	['Anti-Bacterial Agents']	[' ']
5860	C[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[N+](=O)([O-])[O-]	methylatropine	C18H26N2O6	['Parasympatholytics']	[' ']
40119	C1=CC=C2C(=C1)C(=O)C3=C(S2(=O)=O)C=C(C=C3)C4=NNN=N4	doxantrazole	C14H8N4O3S	['Phosphodiesterase Inhibitors', 'Bronchodilator Agents']	[' ']
4649	C1=CC(=C(C=C1N)O)C(=O)O	Aminosalicylic Acid	C7H7NO3	['Antitubercular Agents']	[' ']
3019	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl	Diazoxide	C8H7ClN2O2S	['Vasodilator Agents', 'Antihypertensive Agents']	[' ']
68884	CC(C)(C(=O)OC(COC(=O)C1=CN=CC=C1)COC(=O)C2=CN=CC=C2)OC3=CC=C(C=C3)Cl	binifibrate	C25H23ClN2O7	['Hypolipidemic Agents']	[' ']
61215	COCCOC1=C(C(=O)C(=C(C1=O)N2CC2)OCCOC)N3CC3	2,5-bis(1-aziridinyl)-3,6-bis(2-methoxyethoxy)-4-benzoquinone	C16H22N2O6	['Mutagens', 'Antineoplastic Agents']	[' ']
61460	O.O.O.O.O.O.O.O[As](=O)([O-])[O-].[Na+].[Na+]	sodium arsenate	AsH15Na2O11	['Insecticides']	[' ']
16682746	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC	bis(tri-n-butyltin)oxide	C24H54OSn2	['Immunosuppressive Agents', 'Fungicides, Industrial', 'Disinfectants']	[' ']
22951	CC1=CC(=CC=C1)CC(=NCC(C)OC2=CC=CC(=C2)OC)N	xylamidine	C19H24N2O2	['Serotonin Antagonists']	[' ']
60781	CNC(CC1=CC=CC=C1)C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C=O.OS(=O)(=O)O	efegatran	C21H34N6O7S	['Platelet Aggregation Inhibitors', 'Anticoagulants']	[' ']
5464467	C1=C(C(=O)C(=CC1=C(N)NO)O)O	3,4,5-trihydroxybenzamidoxime	C7H8N2O4	['Free Radical Scavengers', 'Enzyme Inhibitors']	[' ']
65756	CC1=C(OC(=N1)NC(=NS(=O)(=O)C2=CC=C(C=C2)N)N)C	sulfaguanol	C12H15N5O3S	['Anti-Bacterial Agents']	[' ']
