Term;auc
Contraceptives, Oral, Synthetic;0.998667635659
Contrast Media;0.910778267254
Convulsants;0.694888565891
Cross-Linking Reagents;0.925345023543
Cyclooxygenase Inhibitors;0.913590711772
Cysteine Proteinase Inhibitors;0.871569364034
Cytochrome P-450 CYP1A2 Inhibitors;0.775327193408
Dermatologic Agents;0.628317424668
Detergents;0.97767422451
Disinfectants;0.782531584062
Diuretics;0.922555290129
Dopamine Agents;0.922965116279
Dopamine Agonists;0.848440545809
Dopamine Antagonists;0.872891804499
Dopamine Uptake Inhibitors;0.873361650485
Endothelin Receptor Antagonists;0.746161321672
Enzyme Inhibitors;0.753739985798
Estrogen Antagonists;0.755447941889
Excitatory Amino Acid Antagonists;0.769372135762
Expectorants;0.853611245759
Factor Xa Inhibitors;0.868143203883
Fibrinolytic Agents;0.520047487993
Fluorescent Dyes;0.905320851432
Folic Acid Antagonists;0.974057541875
Food Additives;0.931071255453
Free Radical Scavengers;0.752748140963
Fungicides, Industrial;0.787881123013
GABA Antagonists;0.655113911779
GABA Modulators;0.912446191278
Gastrointestinal Agents;0.744372558594
Glucocorticoids;0.995318579767
Glycoside Hydrolase Inhibitors;0.876152912621
HIV Protease Inhibitors;0.798570736434
Hallucinogens;0.939696402578
Hematinics;0.687328490718
Hemostatics;0.47348852247
Herbicides;0.86943359375
Histamine Agonists;1.0
Histamine Antagonists;0.941935135719
Histamine H1 Antagonists;0.886519150449
Histamine H1 Antagonists, Non-Sedating;0.88036839554
Histamine H2 Antagonists;0.998448860882
Histone Deacetylase Inhibitors;0.929263565891
Hormone Antagonists;0.704408400915
Hormones;0.625726744186
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.919017509728
Hypnotics and Sedatives;0.850354003906
Hypoglycemic Agents;0.891934697856
Hypolipidemic Agents;0.733723006982
Immunosuppressive Agents;0.767127271035
Indicators and Reagents;0.813385154078
Insecticides;0.772658366662
Intercalating Agents;0.960150193798
Iron Chelating Agents;0.693586621205
Lipoxygenase Inhibitors;0.82626234525
Matrix Metalloproteinase Inhibitors;0.895788217616
Monoamine Oxidase Inhibitors;0.840127269324
Muscarinic Agonists;0.89200968523
Muscarinic Antagonists;0.921524731969
Muscle Relaxants, Central;0.792239360057
Mutagens;0.863305322129
Mydriatics;0.596933010492
Narcotic Antagonists;0.929199719389
Narcotics;0.901900574592
Neurokinin-1 Receptor Antagonists;0.962258265752
Neuromuscular Nondepolarizing Agents;0.724149659864
Neuroprotective Agents;0.665626364594
Neurotoxins;0.621404311361
Neurotransmitter Agents;0.264953119948
Nicotinic Antagonists;0.987669598268
Nitric Oxide Donors;0.822459662188
Nootropic Agents;0.924396956451
Nucleic Acid Synthesis Inhibitors;0.798698929961
Ornithine Decarboxylase Inhibitors;0.989917595734
Oxidants;0.973837209302
Oxytocics;0.999677158999
Parasympatholytics;0.934024859944
Parasympathomimetics;0.834907945736
Phosphodiesterase Inhibitors;0.829839102877
Photosensitizing Agents;0.902108100941
Plant Growth Regulators;0.959476490548
Platelet Aggregation Inhibitors;0.738520871143
Poly(ADP-ribose) Polymerase Inhibitors;0.88068731849
Potassium Channel Blockers;0.762094037809
Protease Inhibitors;0.865393973423
Protein Kinase Inhibitors;0.727550065506
Protein Synthesis Inhibitors;0.674357334308
Proton Pump Inhibitors;0.941080097087
Psychotropic Drugs;0.931309350523
Purinergic P1 Receptor Antagonists;0.846899224806
Radiation-Protective Agents;0.911127308066
Radiation-Sensitizing Agents;0.772073388537
Radiopharmaceuticals;0.829482814527
Reducing Agents;0.987633365664
Reverse Transcriptase Inhibitors;0.805528612997
Rodenticides;0.66140776699
Schistosomicides;0.943097316521
Serine Proteinase Inhibitors;0.879647591335
Serotonin Antagonists;0.855322937132
Serotonin Receptor Agonists;0.863208007813
Serotonin Uptake Inhibitors;0.94422592478
Solvents;0.766456921588
Surface-Active Agents;0.954201759311
Sweetening Agents;0.894503361752
Sympatholytics;0.782075012177
Sympathomimetics;0.952329105195
Teratogens;0.858859223301
Tocolytic Agents;0.741028128031
Topoisomerase I Inhibitors;0.939364476068
Topoisomerase II Inhibitors;0.88830708958
Trace Elements;0.986136694135
Trypanocidal Agents;0.806735316215
Tubulin Modulators;0.680102040816
Uncoupling Agents;0.777431205379
Uricosuric Agents;0.436470445736
Urological Agents;0.908276588846
Vasoconstrictor Agents;0.759086655437
Vasodilator Agents;0.815325094634
Vitamin B Complex;0.970229380185
Vitamins;0.766412306202
Voltage-Gated Sodium Channel Blockers;0.85457822139
beta-Lactamase Inhibitors;0.793634596696
