Term;auc
Chelating Agents;0.74939194941
Hemostatics;0.460199004975
Antitussive Agents;0.903628947919
Neuromuscular Nondepolarizing Agents;0.908621960206
Antidepressive Agents, Second-Generation;0.792441921581
Antipsychotic Agents;0.810542352224
Vitamin B Complex;0.790138503108
Histamine H2 Antagonists;0.833923689986
Anti-Inflammatory Agents, Non-Steroidal;0.845169418474
Reverse Transcriptase Inhibitors;0.909820303693
Adrenergic Uptake Inhibitors;0.94598540146
Hypnotics and Sedatives;0.963900012134
Angiogenesis Inhibitors;0.926189783852
Antiviral Agents;0.865894779606
Anti-Infective Agents, Local;0.958899494666
Disinfectants;0.981016085364
Anti-Infective Agents;0.974552046294
Trypanocidal Agents;0.893216842616
Serotonin Antagonists;0.999843529964
Adrenergic Agents;0.751158645276
Mydriatics;0.645994960546
Antimutagenic Agents;0.917677612773
Hallucinogens;0.922489082969
Potassium Channel Blockers;0.769466764061
Diuretics;0.855048100929
Antidepressive Agents;0.970524017467
Glycoside Hydrolase Inhibitors;0.923841663626
Cholagogues and Choleretics;0.868352580267
Hypolipidemic Agents;0.92354618394
Parasympathomimetics;0.886121256392
Glucocorticoids;0.813336992316
Sympathomimetics;0.960610200364
Platelet Aggregation Inhibitors;0.847495361781
Angiotensin II Type 1 Receptor Blockers;0.905264800749
Antiparkinson Agents;0.604955081415
Anti-Infective Agents, Urinary;0.902046783626
Contrast Media;0.778605521156
Neuroprotective Agents;0.899853264857
Nootropic Agents;0.949207612227
Nucleic Acid Synthesis Inhibitors;0.851775956284
Antiemetics;0.952474526929
Vasoconstrictor Agents;0.843396054074
Nicotinic Antagonists;0.847668621701
Folic Acid Antagonists;0.750623495012
Antimalarials;0.948259069881
Central Nervous System Stimulants;0.818922852984
Antimetabolites;0.803265231667
Anti-HIV Agents;0.899085461999
GABA Modulators;0.917468451509
Muscle Relaxants, Central;0.909547024172
Convulsants;0.918315018315
Radiation-Sensitizing Agents;0.968145701022
Anti-Allergic Agents;0.773588342441
Anthelmintics;0.906755442053
Free Radical Scavengers;0.915710258734
Neurokinin-1 Receptor Antagonists;0.865079365079
Cytochrome P-450 CYP1A2 Inhibitors;0.905126336249
Anti-Arrhythmia Agents;0.785583894018
Anti-Ulcer Agents;0.888937409025
Protein Synthesis Inhibitors;0.754884116005
Schistosomicides;0.861732014169
Oxytocics;0.873679253951
5-alpha Reductase Inhibitors;0.796180619161
Topoisomerase II Inhibitors;0.93569039656
Antineoplastic Agents, Phytogenic;0.863915266618
Uncoupling Agents;0.919098869026
HIV Protease Inhibitors;0.857051516259
